Iteration,SA_T1000.0,SA_T10000.0,SA_T100000.0,SA_T1000000.0,SA_T1.0E7,SA_T1.0E8,SA_T1.0E9,SA_T1.0E10,SA_T1.0E11
149,49.982,51.881,89.953,43.295,108.772,36.675,62.333,88.801,95.603
150,51.364,51.829,89.558,43.761,108.818,36.577,62.330,88.135,94.573
151,51.343,51.659,89.382,43.694,108.079,36.577,60.783,88.105,95.105
152,52.605,51.782,88.108,43.819,107.803,37.299,61.857,88.308,93.924
153,53.916,51.724,88.027,42.064,108.787,36.544,62.761,88.341,95.847
154,53.889,51.712,88.439,41.696,108.860,36.571,62.774,87.194,97.564
155,53.228,51.572,90.253,41.944,108.596,36.666,62.963,87.066,97.353
156,53.153,50.787,90.247,41.992,108.523,36.205,62.901,86.746,96.181
157,55.711,50.070,89.705,42.038,108.248,32.284,65.748,86.245,96.814
158,55.589,47.762,89.759,41.793,108.447,32.393,65.580,86.260,96.672
159,54.096,48.774,89.758,42.186,108.578,32.401,65.029,86.812,97.715
160,54.051,48.862,89.198,42.156,107.980,32.194,66.152,86.812,97.529
161,54.549,52.587,89.319,41.989,108.735,33.257,65.045,86.803,97.656
162,54.307,52.712,89.384,41.375,108.646,33.250,65.484,86.076,97.479
163,54.122,53.881,89.887,41.541,108.736,33.367,65.942,86.120,97.327
164,55.345,53.981,90.000,41.292,109.178,32.637,66.792,86.181,105.047
165,56.754,53.671,90.094,41.243,109.207,32.939,66.805,86.487,104.782
166,56.677,53.302,92.085,41.175,109.246,32.906,67.227,86.465,104.675
167,56.677,53.302,92.595,41.252,109.071,32.698,66.887,85.203,101.550
168,56.682,52.842,93.195,41.402,108.930,33.411,66.922,85.203,102.245
169,57.749,54.108,93.208,40.972,108.966,33.612,66.519,85.420,102.349
170,58.058,54.119,93.203,41.096,108.928,33.297,69.895,85.650,101.990
171,58.213,54.437,93.265,41.546,108.928,34.077,70.635,86.963,101.858
172,58.508,54.490,93.134,40.969,108.954,34.178,71.073,87.381,102.563
173,58.152,54.397,93.090,41.217,109.252,35.549,74.004,87.459,102.426
174,58.142,54.843,93.475,41.462,109.353,35.518,72.458,86.428,99.329
175,58.265,54.881,95.867,42.866,108.994,35.461,72.979,84.838,98.003
176,58.781,54.448,95.723,43.138,110.143,35.366,74.450,84.780,99.097
177,58.787,50.430,95.622,41.919,110.006,35.390,74.686,84.828,99.097
178,58.786,50.456,95.408,41.898,112.073,35.158,74.998,85.576,99.432
179,59.597,49.838,95.831,41.885,111.432,34.769,76.850,85.255,99.429
180,59.858,49.794,97.659,41.685,111.403,34.903,76.221,85.437,99.445
181,59.773,49.858,97.589,41.727,111.022,34.899,76.918,83.921,100.230
182,59.890,50.031,95.115,41.239,110.895,34.978,77.242,84.030,100.095
183,59.978,50.292,95.237,41.246,110.335,34.975,77.160,83.213,102.594
184,60.018,50.401,95.027,41.228,108.514,35.025,77.362,83.308,106.322
185,60.055,51.147,93.279,41.310,108.752,35.025,77.396,82.435,106.285
186,59.827,51.711,93.275,41.524,108.779,35.071,77.423,82.111,106.099
187,59.712,52.110,92.664,43.290,108.780,35.201,64.783,83.006,106.005
188,59.733,51.840,92.558,47.656,109.073,35.321,64.827,82.870,104.451
189,60.355,52.491,92.142,46.846,108.104,35.562,64.729,84.377,104.654
190,56.270,52.559,92.136,46.633,108.947,35.693,64.654,82.947,103.572
191,56.172,53.616,92.128,45.786,109.122,35.616,64.413,83.514,104.396
192,56.073,53.619,94.115,46.608,109.562,34.900,66.904,83.024,103.488
193,56.050,53.238,95.081,47.603,110.833,34.915,67.258,83.100,103.661
194,56.755,53.193,94.682,47.815,109.631,35.102,67.722,83.231,106.198
195,56.903,54.248,95.810,49.017,109.961,33.526,65.119,83.395,105.179
196,56.896,54.543,98.944,49.021,107.448,34.052,68.860,83.390,105.254
197,56.541,54.745,98.826,48.144,106.475,34.182,68.364,83.528,104.449
198,55.830,56.065,98.906,48.092,105.900,34.133,70.663,83.453,105.268
199,56.030,55.412,97.463,47.914,106.253,34.103,70.655,83.291,106.612
200,55.449,54.276,98.130,48.015,106.435,34.668,70.254,83.442,106.785
201,55.517,53.004,98.343,48.769,105.621,34.717,69.358,83.120,107.483
202,55.514,53.000,97.865,46.995,105.790,34.383,69.368,82.994,107.616
203,54.669,52.981,98.205,46.875,105.836,34.182,69.975,81.869,107.422
204,56.730,52.388,98.201,47.192,105.906,33.862,69.849,81.809,105.237
205,56.787,52.495,98.168,47.306,105.960,33.671,69.506,81.680,105.281
206,56.581,52.444,97.908,47.403,106.691,33.705,68.589,83.129,105.700
207,56.769,53.445,97.437,46.060,107.137,34.704,69.024,83.106,105.295
208,57.784,54.350,97.008,45.887,107.178,33.924,68.926,83.056,105.042
209,57.829,54.966,97.935,45.362,107.161,33.997,68.379,82.841,105.038
210,55.826,55.098,95.233,45.330,108.387,33.936,68.405,83.329,104.216
211,56.476,53.656,95.128,46.078,108.760,34.845,69.058,83.219,104.065
212,56.442,53.881,94.655,45.181,108.863,34.739,68.943,83.130,103.250
213,52.913,53.838,94.931,45.298,109.040,34.728,68.290,83.405,104.545
214,52.915,53.755,93.476,44.108,109.476,34.640,62.997,83.048,104.031
215,52.690,53.755,93.721,43.795,109.396,34.629,62.852,83.067,104.746
216,52.524,51.935,93.725,43.834,110.186,36.222,63.341,82.946,104.974
217,52.182,51.715,94.563,43.456,110.705,36.233,63.597,82.421,105.357
218,52.267,51.099,95.693,43.423,110.594,36.233,63.583,83.953,104.824
219,52.511,50.676,96.122,43.572,110.584,36.234,63.726,84.096,103.693
220,54.825,48.792,96.263,43.978,102.516,36.984,63.744,82.549,104.938
221,53.365,47.098,96.439,43.934,103.411,36.985,63.671,82.543,105.942
222,53.339,47.208,96.332,44.025,103.445,37.516,62.729,82.192,105.963
223,52.973,48.080,97.781,43.939,103.432,37.388,62.807,83.666,106.692
224,53.041,49.427,97.149,44.481,103.509,37.514,62.863,84.171,106.795
225,57.529,49.129,98.509,44.727,104.151,36.904,62.408,84.094,106.638
226,54.936,48.610,96.910,44.260,104.070,36.892,62.800,82.642,107.649
227,55.297,48.443,96.908,44.510,104.219,34.931,62.478,82.789,107.407
228,55.677,49.184,97.144,44.408,104.214,33.735,62.757,82.807,107.702
229,55.669,48.831,96.861,44.708,106.567,34.781,61.789,82.818,105.905
230,55.439,48.862,96.074,44.391,106.752,34.488,62.309,82.816,105.865
231,60.553,48.317,96.271,44.028,107.320,35.148,61.431,79.220,105.799
232,60.568,48.250,98.010,37.836,107.427,35.147,62.507,79.480,105.860
233,60.576,48.109,98.954,39.026,107.424,34.701,62.441,79.740,105.809
234,60.881,48.034,98.961,39.030,107.349,35.537,63.192,79.640,106.049
