Algorithm,Iteration,NumberOfPoints,Evaluation,TrainingTime
SA,400,10,0.47557442066373795,2098015.0
GA,400,10,0.475574420663738,5.5132456E7
MIMIC,400,10,0.3730937873778703,1.76566037E8
RHC,400,20,0.20116558710831742,1161844.0
SA,400,20,0.24295653870002717,2549362.0
GA,400,20,0.24139446637706086,9.4725346E7
MIMIC,400,20,0.17273861098671053,8.54193293E8
RHC,400,40,0.14293695226385414,3155490.0
SA,400,40,0.10998005771172323,5237751.0
GA,400,40,0.19434921403196784,2.31700858E8
MIMIC,400,40,0.11679555937439326,5.391839995E9
RHC,400,60,0.08979507172327786,3018825.0
SA,400,60,0.08521449230728308,4355143.0
GA,400,60,0.1248379434635881,2.78005662E8
MIMIC,400,60,0.07699643046431782,2.6181477684E10
RHC,400,80,0.06703803357728305,5633171.0
SA,400,80,0.0804644869781616,7603581.0
GA,400,80,0.11529511886053675,4.35100373E8
MIMIC,400,80,0.055600271972327885,5.7693210932E10
RHC,10,10,0.28409540222664714,26387.0
SA,10,10,0.21576804072877756,29932.0
GA,10,10,0.31203796189679606,1695110.0
MIMIC,10,10,0.28103347075597185,5236963.0
RHC,10,20,0.1727233686927087,32295.0
SA,10,20,0.08494561423966172,37810.0
GA,10,20,0.21388026229545445,2972351.0
MIMIC,10,20,0.1558263012753873,2.0351176E7
RHC,10,40,0.0787000070405522,57895.0
SA,10,40,0.04716986624557405,61833.0
GA,10,40,0.10891543462268828,6069552.0
MIMIC,10,40,0.07917414866171239,1.29989481E8
RHC,10,60,0.04347020833852912,83496.0
SA,10,60,0.03264438338576936,86646.0
GA,10,60,0.07475993833790497,9291602.0
MIMIC,10,60,0.04259094736576507,5.35540811E8
RHC,10,80,0.03089394380014393,228825.0
SA,10,80,0.02290137480860688,235125.0
GA,10,80,0.04900495795012593,2.7507348E7
MIMIC,10,80,0.03053809413092015,2.146217488E9
RHC,30,10,0.26239759403011675,72861.0
SA,30,10,0.18692202147406495,92554.0
GA,30,10,0.3005524208951318,5552433.0
MIMIC,30,10,0.25746902872894656,1.5258361E7
RHC,30,20,0.18528670051201493,111065.0
SA,30,20,0.08387486179627641,121698.0
GA,30,20,0.27046505359887835,8650815.0
MIMIC,30,20,0.14341887824543278,5.6980379E7
RHC,30,40,0.09715792141432451,174474.0
SA,30,40,0.052620628422125455,189046.0
GA,30,40,0.1536690703237755,1.6949139E7
MIMIC,30,40,0.06876760436644318,3.55426226E8
RHC,30,60,0.06681735724352053,231975.0
SA,30,60,0.03296173847643082,246941.0
GA,30,60,0.09700136138233333,2.5851622E7
MIMIC,30,60,0.05409839294406639,1.960090852E9
RHC,30,80,0.042111145663112845,499396.0
SA,30,80,0.023975021731154948,513969.0
GA,30,80,0.07777957858629762,5.8476992E7
MIMIC,30,80,0.03578009485535886,6.11462675E9
RHC,60,10,0.34651612298316065,155568.0
SA,60,10,0.2201003285860364,199286.0
GA,60,10,0.34651612298316065,1.2163523E7
MIMIC,60,10,0.32835059275119216,3.510699E7
RHC,60,20,0.22558733415516843,235913.0
SA,60,20,0.08471724177581351,287114.0
GA,60,20,0.22855595225977893,1.9143646E7
MIMIC,60,20,0.15742613850916667,2.14813946E8
RHC,60,40,0.12196595213455816,581710.0
SA,60,40,0.052639666996059424,641968.0
GA,60,40,0.16176115885490627,5.7963811E7
MIMIC,60,40,0.10271111967238947,1.192171376E9
RHC,60,60,0.07071480257308035,542325.0
SA,60,60,0.02931484804703069,572651.0
GA,60,60,0.10770977657640403,5.7377376E7
MIMIC,60,60,0.06324156441189568,2.950100174E9
RHC,60,80,0.045166666817994035,602977.0
SA,60,80,0.026098550927152457,633304.0
GA,60,80,0.11065078335355333,6.6858416E7
MIMIC,60,80,0.038329450315834034,9.690265361E9
RHC,100,10,0.3178351893806479,190227.0
SA,100,10,0.317835189380648,326104.0
GA,100,10,0.3177916056061226,1.517841E7
MIMIC,100,10,0.29479594791574437,4.3927553E7
RHC,100,20,0.21581440501058724,296960.0
SA,100,20,0.20016225744281466,415900.0
GA,100,20,0.2676670306149864,2.4630701E7
MIMIC,100,20,0.20963212948134002,1.67909708E8
RHC,100,40,0.1000305632041694,523420.0
SA,100,40,0.08800857130738758,612824.0
GA,100,40,0.160240783954576,4.650094E7
MIMIC,100,40,0.0870459290278261,1.636772484E9
RHC,100,60,0.0791981842968713,827863.0
SA,100,60,0.062288649288255206,923174.0
GA,100,60,0.13060665646063077,8.0111711E7
MIMIC,100,60,0.058984241590581146,4.82900018E9
RHC,100,80,0.05198932857696785,1524182.0
SA,100,80,0.04054928113516198,1646668.0
GA,100,80,0.10011684160660132,1.45234056E8
MIMIC,100,80,0.040030945888802565,1.5125560294E10
RHC,200,10,0.32746178946982335,409205.0
SA,200,10,0.32463919270833125,983826.0
GA,200,10,0.32746178946982335,4.2549488E7
MIMIC,200,10,0.2918863311782007,1.89124982E8
RHC,200,20,0.20619786557404748,1261881.0
SA,200,20,0.21543971481697224,2443417.0
GA,200,20,0.21588881365618606,9.405699E7
MIMIC,200,20,0.19830620875094132,6.03071129E8
RHC,200,40,0.12054864660962031,1490311.0
SA,200,40,0.11517538170509942,2250827.0
GA,200,40,0.15822790916114138,1.14041102E8
MIMIC,200,40,0.1047824508694607,2.845714194E9
RHC,200,60,0.08959400683257951,2995982.0
SA,200,60,0.07921667419917189,3996350.0
GA,200,60,0.137004970570903,2.78405808E8
MIMIC,200,60,0.06329996804640817,1.1038234517E10
RHC,200,80,0.05867212694951514,2145276.0
SA,200,80,0.05748247327905089,2639159.0
GA,200,80,0.10836802829638914,1.9312015E8
MIMIC,200,80,0.05413293704324888,3.1317890784E10
RHC,400,10,0.38041058415054974,745943.0
SA,400,10,0.3912491688313561,2091714.0
GA,400,10,0.38767297884677493,5.4357762E7
MIMIC,400,10,0.36860986213892044,1.79611645E8
RHC,400,20,0.22885012349489028,1163814.0
SA,400,20,0.2075381592706333,2548574.0
GA,400,20,0.23075714240882658,9.9867786E7
MIMIC,400,20,0.2472084511684591,6.65088791E8
RHC,400,40,0.13763288761822318,2050753.0
SA,400,40,0.12279044832619873,3448905.0
GA,400,40,0.18260136539519567,1.75479419E8
MIMIC,400,40,0.12095429216762706,5.412650789E9
RHC,400,60,0.08678329777690831,2929029.0
SA,400,60,0.08893143486478958,4341359.0
GA,400,60,0.1174461995531102,2.84771532E8
MIMIC,400,60,0.08088250443619381,2.2663084904E10
RHC,400,80,0.07089576910073737,8803234.0
SA,400,80,0.060849640298234926,1.1469961E7
GA,400,80,0.11128958987231229,5.90194745E8
MIMIC,400,80,0.05443376763591967,5.9458636578E10
RHC,10,10,0.340813755132886,25600.0
SA,10,10,0.17852832033765145,29538.0
GA,10,10,0.36526895607065246,1706926.0
MIMIC,10,10,0.3265136273697367,5376385.0
RHC,10,20,0.12810746546521984,32295.0
SA,10,20,0.0883881184586729,37021.0
GA,10,20,0.18404946447599274,3007010.0
MIMIC,10,20,0.1402974770296977,2.0434278E7
RHC,10,40,0.06875829129991752,57896.0
SA,10,40,0.04362747479702478,61439.0
GA,10,40,0.10528480252152357,5979756.0
MIMIC,10,40,0.06820499996098894,1.36376078E8
RHC,10,60,0.04669537035610656,83889.0
SA,10,60,0.03184887101489397,87040.0
GA,10,60,0.07312245226518348,9319959.0
MIMIC,10,60,0.044341604686632785,5.02521596E8
RHC,10,80,0.034442556889602884,108701.0
SA,10,80,0.026850995737605576,110671.0
GA,10,80,0.05556483291011014,1.2818094E7
MIMIC,10,80,0.03424988400359937,1.616417369E9
RHC,30,10,0.380518867643319,77588.0
SA,30,10,0.22259340788224893,100431.0
GA,30,10,0.38051886764331905,5827337.0
MIMIC,30,10,0.2837649942529718,1.6992856E7
RHC,30,20,0.23212284366938862,105945.0
SA,30,20,0.09528651213536155,123273.0
GA,30,20,0.2833173365286857,9332168.0
