Algorithm,Iteration,N,Evaluation,TrainingTime
MIMIC,20,80,8.0,2.29140771E8
RHC,20,100,5.0,93735.0
SA,20,100,1.0,113821.0
GA,20,100,16.0,4330329.0
MIMIC,20,100,13.0,2.44950116E8
RHC,20,120,11.0,86645.0
SA,20,120,3.0,98461.0
GA,20,120,11.0,8271145.0
MIMIC,20,120,11.0,4.38862606E8
RHC,20,140,2.0,97674.0
SA,20,140,1.0,117760.0
GA,20,140,10.0,4345689.0
MIMIC,20,140,27.0,3.6572711E8
RHC,20,160,5.0,94129.0
SA,20,160,0.0,93341.0
GA,20,160,9.0,3518614.0
MIMIC,20,160,18.0,4.03705611E8
RHC,20,180,3.0,93341.0
SA,20,180,1.0,143359.0
GA,20,180,9.0,3754921.0
MIMIC,20,180,21.0,5.03335476E8
RHC,20,200,1.0,104369.0
SA,20,200,3.0,115790.0
GA,20,200,10.0,4172791.0
MIMIC,20,200,18.0,6.21662752E8
RHC,30,20,10.0,31901.0
SA,30,20,1.0,55532.0
GA,30,20,29.0,1778211.0
MIMIC,30,20,32.0,1.7999911E7
RHC,30,40,5.0,43323.0
SA,30,40,2.0,66953.0
GA,30,40,52.0,2122039.0
MIMIC,30,40,12.0,5.198049E7
RHC,30,60,8.0,58289.0
SA,30,60,1.0,76799.0
GA,30,60,14.0,2501311.0
MIMIC,30,60,10.0,9.9819304E7
RHC,30,80,8.0,72467.0
SA,30,80,2.0,94129.0
GA,30,80,13.0,3027095.0
MIMIC,30,80,18.0,1.53607151E8
RHC,30,100,7.0,83101.0
SA,30,100,5.0,100431.0
GA,30,100,15.0,3444965.0
MIMIC,30,100,11.0,2.34588046E8
RHC,30,120,3.0,104369.0
SA,30,120,1.0,125636.0
GA,30,120,11.0,4109775.0
MIMIC,30,120,17.0,3.23055152E8
RHC,30,140,6.0,109883.0
SA,30,140,2.0,122880.0
GA,30,140,16.0,4522526.0
MIMIC,30,140,17.0,6.75554968E8
RHC,30,160,4.0,151631.0
SA,30,160,0.0,158326.0
GA,30,160,12.0,5924615.0
MIMIC,30,160,12.0,5.96814658E8
RHC,30,180,6.0,137058.0
SA,30,180,5.0,153994.0
GA,30,180,10.0,5264530.0
MIMIC,30,180,24.0,7.30730331E8
RHC,30,200,4.0,261120.0
SA,30,200,1.0,306412.0
GA,30,200,9.0,1.126949E7
MIMIC,30,200,16.0,1.287070688E9
RHC,40,20,20.0,134301.0
SA,40,20,3.0,76406.0
GA,40,20,31.0,2424117.0
MIMIC,40,20,33.0,2.7575078E7
RHC,40,40,9.0,82313.0
SA,40,40,0.0,90585.0
GA,40,40,51.0,2843563.0
MIMIC,40,40,55.0,6.4267677E7
RHC,40,60,8.0,72073.0
SA,40,60,0.0,107914.0
GA,40,60,21.0,3261827.0
MIMIC,40,60,22.0,1.19686043E8
RHC,40,80,1.0,94129.0
SA,40,80,3.0,125637.0
GA,40,80,16.0,3887647.0
MIMIC,40,80,22.0,1.9716132E8
RHC,40,100,5.0,109882.0
SA,40,100,2.0,131151.0
GA,40,100,11.0,4484322.0
MIMIC,40,100,27.0,2.88546034E8
RHC,40,120,3.0,135482.0
