Iteration,RHC,SA,GA
333,10.436,14.365,2.720
334,10.403,14.316,2.787
335,10.401,13.309,2.869
336,10.414,13.426,2.876
337,10.400,13.582,2.694
338,10.400,13.309,2.906
339,10.402,13.860,2.780
340,10.506,13.311,2.771
341,10.560,13.199,2.918
342,10.536,12.090,2.776
343,10.417,12.103,2.980
344,10.467,12.073,2.896
345,10.396,11.927,3.051
346,10.268,11.901,2.920
347,10.286,11.930,3.154
348,10.319,11.871,2.829
349,10.140,11.813,2.921
350,10.373,11.813,3.016
351,10.499,11.904,2.763
352,10.170,11.861,3.018
353,10.174,12.469,2.824
354,10.150,11.805,2.891
355,10.041,11.851,2.716
356,9.981,11.938,2.632
357,10.327,12.636,3.093
358,9.938,11.774,3.455
359,9.750,11.769,2.801
360,9.734,11.740,2.762
361,9.734,11.739,3.030
362,9.850,11.744,2.760
363,9.714,11.718,2.986
364,9.678,11.721,2.614
365,9.664,11.734,2.824
366,9.806,11.712,2.903
367,9.664,11.697,2.817
368,9.904,11.872,2.824
369,9.664,11.680,2.740
370,9.756,11.689,2.849
371,9.665,11.615,2.958
372,9.670,11.720,2.747
373,9.670,11.597,2.919
374,9.562,11.952,2.872
375,9.492,11.692,2.674
376,9.490,11.688,2.701
377,9.524,11.696,2.834
378,9.490,11.684,2.729
379,9.457,11.593,2.942
380,9.454,11.585,2.843
381,9.414,11.503,2.771
382,9.290,11.530,2.885
383,9.290,11.503,2.811
384,9.330,11.546,2.823
385,9.396,11.404,2.786
386,9.288,11.404,2.845
387,9.302,11.377,2.584
388,9.289,11.375,2.879
389,9.294,10.907,2.611
390,9.289,10.693,2.873
391,9.620,10.669,2.597
392,9.289,10.671,2.666
393,9.286,10.638,2.810
394,9.256,10.639,2.662
395,9.255,10.739,2.935
396,9.369,10.638,2.781
397,9.263,10.583,2.649
398,9.253,12.198,3.015
399,8.783,10.563,2.665
400,8.800,10.563,2.696
401,8.823,10.563,2.840
402,8.763,10.635,2.759
403,8.710,10.563,2.807
404,8.743,11.806,2.772
405,8.831,10.526,2.616
406,8.769,10.548,2.572
407,8.676,10.497,2.730
408,8.731,10.510,3.412
409,8.676,10.611,2.731
410,8.676,10.543,3.173
411,8.681,10.483,2.795
412,8.651,10.492,2.609
413,8.703,10.458,2.744
