gridWorld,iteration,learningRate,lastMaxDelta,rewards,numOfActions,runningTime
small,25,0.1,0.09656771825599053,-4,4,1.9990414E7
small,29,0.1,0.20971613332854688,-22,22,2.2012023E7
small,33,0.1,0.13235784743366485,-16,16,2.2817437E7
small,37,0.1,0.11673969776173632,-40,40,2.4468831E7
small,41,0.1,0.0462164088283219,-3,3,2.4866615E7
small,45,0.1,0.17142433280633784,-10,10,2.5358528E7
small,49,0.1,0.09656391409379017,-4,4,2.5642096E7
small,53,0.1,0.023345377431600145,-3,3,2.6289578E7
small,57,0.1,0.14977934224233458,-6,6,2.6525492E7
small,61,0.1,0.09881057058195708,-6,6,2.6748015E7
small,65,0.1,0.028844093088477463,-3,3,2.6978808E7
small,69,0.1,0.09776162624734308,-5,5,2.7217478E7
small,73,0.1,0.08746197988077498,-5,5,2.7477416E7
small,77,0.1,0.024511694608540857,-3,3,2.7824E7
small,81,0.1,0.09888752910810461,-4,4,2.8072517E7
small,85,0.1,0.1422646538387511,-17,17,2.8568762E7
small,89,0.1,0.039937749522267474,-3,3,2.9075247E7
small,93,0.1,0.22456084028203627,-8,8,2.9645929E7
small,97,0.1,0.029222332986319488,-3,3,2.9888538E7
small,101,0.1,0.10357210882734824,-7,7,3.0197707E7
small,105,0.1,0.07916344701067013,-4,4,3.0483639E7
small,109,0.1,0.08212795071007117,-5,5,3.0761694E7
small,113,0.1,0.09713958544004653,-6,6,3.1115367E7
small,117,0.1,0.09626580112154093,-4,4,3.1359551E7
small,121,0.1,0.1585017878614179,-5,5,3.1610431E7
small,125,0.1,0.027871316617654518,-3,3,3.1784116E7
small,129,0.1,0.06605737494047315,-4,4,3.2046417E7
small,133,0.1,0.057884753780661935,-4,4,3.2527303E7
small,137,0.1,0.032882962021965056,-3,3,3.2873887E7
small,141,0.1,0.09862683910136183,-4,4,3.3530821E7
small,145,0.1,0.09727181454948353,-4,4,3.3778944E7
small,149,0.1,0.2291187803368966,-5,5,3.3974291E7
small,153,0.1,0.15060841371157996,-6,6,3.4615471E7
small,157,0.1,0.13341406118422228,-5,5,3.4886831E7
small,1,0.1,0.1099,-52,52,1094890.0
small,5,0.1,0.1453084813848788,-86,86,5337787.0
small,9,0.1,0.15150975759143626,-145,145,8817806.0
small,13,0.1,0.13763588890691802,-34,34,1.0040696E7
small,17,0.1,0.09818066471191478,-7,7,1.1406946E7
small,21,0.1,0.1441079840337376,-41,41,1.3087878E7
small,25,0.1,0.14869882394930856,-47,47,1.4797167E7
small,29,0.1,0.11637708765877885,-9,9,1.5562015E7
small,33,0.1,0.1768850539004767,-8,8,1.6436746E7
small,37,0.1,0.09712508394612485,-7,7,1.6951108E7
small,41,0.1,0.1395684361021221,-60,60,1.7815993E7
small,45,0.1,0.15562035632370907,-59,59,1.9130255E7
small,49,0.1,0.08136502535767454,-4,4,1.9564666E7
small,53,0.1,0.20380350887102994,-76,76,2.0643015E7
small,57,0.1,0.08882522167248919,-5,5,2.1021501E7
small,61,0.1,0.033975257642143486,-3,3,2.1376749E7
small,65,0.1,0.04749422329325914,-3,3,2.2279837E7
small,69,0.1,0.09825264211282225,-7,7,2.3043503E7
small,73,0.1,0.04507128838291097,-3,3,2.3358974E7
small,77,0.1,0.09823936454772753,-8,8,2.3626395E7
small,81,0.1,0.18277840378399657,-53,53,2.4191957E7
small,85,0.1,0.09734538914763169,-4,4,2.4438898E7
small,89,0.1,0.15067044604856128,-5,5,2.4888276E7
small,93,0.1,0.05438214333628655,-3,3,2.5584988E7
small,97,0.1,0.10802365891310917,-10,10,2.5979621E7
small,101,0.1,0.16102566972737575,-6,6,2.6360864E7
