gridWorld,strategy,maxIteration,gamma,lastMaxDelta,rewards,numOfActions,runningTime
large,Q,200,0.8,0.13044452619070768,-56,56,1.48303688E8
large,Q,200,0.8,0.03805612963078886,-55,55,3.27103224E8
large,Q,200,0.8,0.12835754794050525,-227,227,2.44567788E8
large,Q,200,0.8,0.07436292447422943,-41,41,2.63503878E8
large,Q,200,0.8,0.120663436593484,-66,66,3.27848379E8
large,Q,200,0.8,0.059159947476358,-31,31,3.17039684E8
large,Q,200,0.8,0.14734211235411654,-67,67,3.03782846E8
large,Q,200,0.8,0.05594183931754815,-27,27,3.0590843E8
large,Q,200,0.8,0.10298825194536132,-204,204,2.96868102E8
large,Q,200,0.8,0.05382793886584958,-1214,1214,3.07144711E8
large,Q,200,0.8,0.07349465873141714,-34,34,3.27140245E8
large,Q,200,0.8,0.05788507361652284,-1029,1029,3.2149447E8
large,Q,200,0.8,0.17274176001346708,-70,70,3.11291903E8
large,Q,200,0.8,0.10539780573434676,-28,28,2.87309472E8
large,Q,200,0.8,0.04271662139619692,-481,481,3.37057667E8
large,Q,200,0.8,0.11738081831915714,-216,216,2.1992921E8
large,Q,200,0.8,0.030933081614697322,-40,40,1.97563909E8
large,Q,200,0.8,0.12733645963932494,-34,34,3.11849983E8
large,Q,200,0.8,0.10721634976872974,-258,258,2.1951646E8
large,Q,200,0.8,0.049677437570157856,-35,35,1.84011292E8
large,Q,200,0.8,0.08961002528352635,-35,35,1.55950197E8
large,Q,200,0.8,0.1058881062465371,-138,138,1.4396745E8
large,Q,200,0.8,0.07253766712583909,-32,32,1.45258475E8
large,Q,200,0.8,0.10222189109588165,-160,160,2.09635666E8
large,Q,200,0.8,0.019617986244136354,-66,66,2.80989041E8
large,Q,200,0.8,0.09142934532356306,-30,30,2.75082146E8
large,Q,200,0.8,0.03688148749703757,-50,50,2.67699119E8
large,Q,200,0.8,0.04446545101385224,-138,138,2.00936407E8
large,Q,200,0.8,0.03507390738679428,-89,89,3.2323763E8
large,Q,200,0.8,0.09243274250802491,-53,53,3.17983338E8
large,Q,200,0.8,0.10739447893635967,-619,619,2.37291887E8
large,Q,200,0.8,0.15886791489057628,-225,225,2.97276913E8
large,Q,200,0.8,0.06420763859080347,-54,54,2.66205657E8
large,Q,200,0.8,0.04356709130969172,-3348,3348,3.48331494E8
large,Q,200,0.8,0.11813151982391501,-348,348,2.75795401E8
large,Q,200,0.8,0.039321408392770874,-41,41,2.92282953E8
large,Q,200,0.8,0.04466970722293362,-35,35,1.98585937E8
large,Q,200,0.8,0.06255768252107785,-53,53,1.78358429E8
large,Q,200,0.8,0.061543824378109235,-47,47,2.98157551E8
large,Q,200,0.8,0.05268471596334301,-60,60,2.7863227E8
large,Q,200,0.8,0.04482751611371816,-28,28,2.65924846E8
large,Q,200,0.8,0.06619293232102486,-24,24,2.99154375E8
large,Q,200,0.8,0.11310080353953023,-57,57,2.15543348E8
large,Q,200,0.8,0.05463562765002239,-381,381,1.85381874E8
large,Q,200,0.8,0.0970673967371547,-37,37,1.84191674E8
large,Q,200,0.8,0.03942989362515226,-80,80,3.09837432E8
