gridWorld,iteration,epsilon,lastMaxDelta,rewards,numOfActions,runningTime
large,346,0.1,0.23123195984988598,-30,30,3.28812907E8
large,351,0.1,0.21691962269214216,-52,52,3.29110654E8
large,356,0.1,0.2142244266331801,-29,29,3.29421398E8
large,361,0.1,0.11854986951051671,-24,24,3.29706542E8
large,366,0.1,0.26420932027226973,-153,153,3.30257138E8
large,371,0.1,0.2282020859878866,-65,65,3.35209745E8
large,376,0.1,0.06365896629976686,-15,15,3.35963565E8
large,381,0.1,0.2183135202275448,-30,30,3.36287306E8
large,386,0.1,0.18255739644390623,-18,18,3.37054517E8
large,391,0.1,0.23104173044939946,-25,25,3.37362504E8
large,396,0.1,0.19753446995966817,-124,124,3.37885925E8
large,401,0.1,0.19905910619361222,-25,25,3.38180127E8
large,406,0.1,0.19681867014185528,-23,23,3.38449517E8
large,411,0.1,0.1883421935868661,-20,20,3.38705517E8
large,416,0.1,0.22965493591745378,-25,25,3.38972544E8
large,421,0.1,0.18855977773569066,-25,25,3.39230119E8
large,426,0.1,0.2498767744144752,-31,31,3.39824826E8
large,431,0.1,0.24410299186174855,-30,30,3.42872796E8
large,436,0.1,0.22154079744702493,-28,28,3.43200081E8
large,441,0.1,0.20691219081053625,-19,19,3.53923705E8
large,446,0.1,0.24586495940110442,-26,26,3.55028442E8
large,451,0.1,0.21805972161931564,-26,26,3.56449436E8
large,456,0.1,0.11195496049096221,-19,19,3.57737311E8
large,461,0.1,0.2194405627913376,-26,26,3.58287907E8
large,466,0.1,0.16505018977654196,-20,20,3.58868829E8
large,471,0.1,0.09728715818827771,-20,20,3.59463142E8
large,476,0.1,0.21800577464030724,-25,25,3.60065331E8
large,481,0.1,0.231583282900373,-29,29,3.60630106E8
large,486,0.1,0.1905086211030902,-122,122,3.6152059E8
large,491,0.1,0.18473281722127943,-27,27,3.62728121E8
large,496,0.1,0.283345079375247,-23,23,3.63312587E8
large,501,0.1,0.20741017970546682,-24,24,3.63872242E8
large,506,0.1,0.22296216603591468,-25,25,3.64454345E8
large,511,0.1,0.1544785731519589,-22,22,3.65033298E8
large,516,0.1,0.13578633804452522,-19,19,3.697878E8
large,521,0.1,0.22735658992144714,-25,25,3.70454187E8
large,526,0.1,0.09167749497276212,-20,20,3.71419108E8
large,531,0.1,0.2269767218664711,-32,32,3.76364626E8
large,536,0.1,0.21416404209249507,-37,37,3.77698186E8
large,541,0.1,0.21668240522478666,-22,22,3.78299588E8
large,546,0.1,0.2364893414156537,-22,22,3.7887736E8
