gridWorld,strategy,maxDelta,maxIteration,rewards,runningTime
small,valueIteration,1.0E-4,40,-19,7.8274027E7
small,policyIteration,1.0E-4,55,-27,1.56441323E8
large,QLearning,1.0E-4,600,-21,9.4439414E7
small,valueIteration,1.0E-4,40,-21,7.7099186E7
small,policyIteration,1.0E-4,55,-20,1.54578827E8
large,QLearning,1.0E-4,600,-22,1.02208409E8
small,valueIteration,1.0E-4,40,-24,7.7627727E7
small,policyIteration,1.0E-4,55,-22,1.55258605E8
large,QLearning,1.0E-4,600,-20,9.2483577E7
small,valueIteration,1.0E-4,40,-20,7.8166507E7
small,policyIteration,1.0E-4,55,-32,1.72380249E8
large,QLearning,1.0E-4,600,-22,1.55223552E8
small,valueIteration,1.0E-4,40,-20,1.38998695E8
small,policyIteration,1.0E-4,55,-27,2.16678016E8
large,QLearning,1.0E-4,600,-29,1.30718882E8
small,valueIteration,1.0E-4,40,-23,1.03823176E8
small,policyIteration,1.0E-4,55,-25,1.79957441E8
large,QLearning,1.0E-4,600,-22,1.02051659E8
