gridWorld,iteration,initQ,lastMaxDelta,rewards,numOfActions,runningTime
small,153,-0.5,0.1785740819562076,-3,3,7.5203215E7
small,157,-0.5,0.7419148756097678,-5,5,7.586842E7
small,1,-0.5,0.47554303649999996,-113,113,3305939.0
small,5,-0.5,0.4351599227355001,-60,60,8513758.0
small,9,-0.5,0.6757644196197501,-96,96,1.1848447E7
small,13,-0.5,0.28869047590765984,-7,7,1.2972876E7
small,17,-0.5,0.7363095033130302,-33,33,1.4402929E7
small,21,-0.5,0.28769260033993405,-4,4,1.5340675E7
small,25,-0.5,0.14413002677428555,-3,3,1.5847948E7
small,29,-0.5,0.5335448224409625,-3,3,1.6374125E7
small,33,-0.5,0.2216627492180563,-5,5,1.7546997E7
small,37,-0.5,0.15912215878667224,-5,5,1.8408337E7
small,41,-0.5,0.029950265134781162,-3,3,1.8936484E7
small,45,-0.5,0.35577599316471575,-16,16,1.9748199E7
small,49,-0.5,0.19587174267423202,-3,3,2.0513835E7
small,53,-0.5,0.23620896525019108,-3,3,2.1787137E7
small,57,-0.5,0.540554228344293,-6,6,2.2559074E7
small,61,-0.5,0.46693628552185285,-39,39,2.5071808E7
small,65,-0.5,0.4905206499947399,-3,3,2.5549937E7
small,69,-0.5,0.11146321364734257,-3,3,2.6127314E7
small,73,-0.5,0.6229211687647034,-5,5,2.6619227E7
small,77,-0.5,0.07696422717348028,-3,3,2.7133589E7
small,81,-0.5,0.3709762544687445,-12,12,2.8245809E7
small,85,-0.5,0.11811546023829345,-3,3,2.8718817E7
