gridWorld,strategy,T,maxIteration,rewards,runningTime
small,QLearning,0.7,200,-3,3888830.0
small,valueIteration,0.7,12,-5,2037363.0
small,policyIteration,0.7,16,-3,3304757.0
small,QLearning,0.7,200,-5,5834821.0
small,valueIteration,0.7,12,-3,2965262.0
small,policyIteration,0.7,16,-3,3281520.0
small,QLearning,0.7,200,-5,3957753.0
small,valueIteration,0.7,12,-3,2041695.0
small,policyIteration,0.7,16,-3,3251588.0
small,QLearning,0.7,200,-3,4239352.0
small,valueIteration,0.7,12,-5,2026729.0
small,policyIteration,0.7,16,-6,3294517.0
small,QLearning,0.7,200,-5,4127894.0
small,valueIteration,0.7,12,-4,2051147.0
small,policyIteration,0.7,16,-3,3240560.0
small,QLearning,0.7,200,-4,3855747.0
small,valueIteration,0.7,12,-10,2090925.0
small,policyIteration,0.7,16,-15,3206689.0
small,QLearning,0.7,200,-4,4036522.0
