gridWorld,strategy,numIncentiveLoc,incentive,lastMaxDelta,rewards,numOfActions,runningTime
large,valueIteration,1,1.15,4.395868913631418E-4,-25,25,1.065263737E9
large,valueIteration,1,1.15,4.395868913631418E-4,-17,17,8.20311161E8
large,valueIteration,1,1.15,4.395868913631418E-4,-15,15,1.080805273E9
large,valueIteration,1,1.15,4.395868913631418E-4,-18,18,8.40384677E8
large,valueIteration,1,1.15,4.395868913631418E-4,-17,17,8.18396285E8
large,valueIteration,1,1.16,3.4291282397891365E-4,-24,24,1.089844026E9
large,valueIteration,1,1.16,3.4291282397891365E-4,-21,21,1.222744024E9
large,valueIteration,1,1.16,3.4291282397891365E-4,-17,17,1.315207121E9
large,valueIteration,1,1.16,3.4291282397891365E-4,-17,17,8.30693715E8
large,valueIteration,1,1.16,3.4291282397891365E-4,-22,22,8.19609722E8
large,valueIteration,1,1.16,3.4291282397891365E-4,-24,24,8.2021782E8
large,valueIteration,1,1.16,3.4291282397891365E-4,-21,21,1.101015058E9
large,valueIteration,1,1.16,3.4291282397891365E-4,-17,17,8.20657352E8
large,valueIteration,1,1.16,3.4291282397891365E-4,-27,27,1.104802276E9
large,valueIteration,1,1.16,3.4291282397891365E-4,-19,19,8.20050042E8
large,valueIteration,1,1.162,3.235780105015351E-4,-19,19,1.357799144E9
large,valueIteration,1,1.162,3.235780105015351E-4,-22,22,1.082089602E9
large,valueIteration,1,1.162,3.235780105015351E-4,-16,16,8.2232962E8
large,valueIteration,1,1.162,3.235780105015351E-4,-26,26,8.17724779E8
large,valueIteration,1,1.162,3.235780105015351E-4,-27,27,1.338763018E9
large,valueIteration,1,1.162,3.235780105015351E-4,-18,18,8.23867192E8
large,valueIteration,1,1.162,3.235780105015351E-4,-23,23,1.292084061E9
large,valueIteration,1,1.162,3.235780105015351E-4,-26,26,1.164321382E9
large,valueIteration,1,1.162,3.235780105015351E-4,-25,25,1.061686833E9
large,valueIteration,1,1.162,3.235780105015351E-4,-18,18,1.118328504E9
large,valueIteration,1,1.163,3.1391060376284585E-4,-20,20,8.21713645E8
large,valueIteration,1,1.163,3.1391060376284585E-4,-18,18,1.282769221E9
large,valueIteration,1,1.163,3.1391060376284585E-4,-20,20,8.1833839E8
large,valueIteration,1,1.163,3.1391060376284585E-4,-19,19,1.298742018E9
large,valueIteration,1,1.163,3.1391060376284585E-4,-32,32,1.067451942E9
large,valueIteration,1,1.163,3.1391060376284585E-4,-22,22,1.066032917E9
large,valueIteration,1,1.163,3.1391060376284585E-4,-21,21,8.18740506E8
large,valueIteration,1,1.163,3.1391060376284585E-4,-20,20,1.089787705E9
large,valueIteration,1,1.163,3.1391060376284585E-4,-21,21,1.04990337E9
large,valueIteration,1,1.163,3.1391060376284585E-4,-19,19,1.341942533E9
large,valueIteration,2,0.0,0.0,-22,22,1.265672784E9
large,valueIteration,2,0.0,0.0,-22,22,1.147346249E9
large,valueIteration,2,0.0,0.0,-24,24,8.20223334E8
large,valueIteration,2,0.0,0.0,-22,22,8.17535338E8
large,valueIteration,2,0.0,0.0,-16,16,8.16857924E8
large,valueIteration,2,0.0,0.0,-25,25,1.044976757E9
large,valueIteration,2,0.0,0.0,-24,24,1.123523719E9
large,valueIteration,2,0.0,0.0,-18,18,8.18939004E8
large,valueIteration,2,0.0,0.0,-18,18,1.088055573E9
large,valueIteration,2,0.0,0.0,-19,19,1.085103701E9
large,valueIteration,2,0.5,0.0,-19,19,8.23556842E8
large,valueIteration,2,0.5,0.0,-19,19,1.235724776E9
large,valueIteration,2,0.5,0.0,-21,21,1.280681054E9
large,valueIteration,2,0.5,0.0,-22,22,1.157886342E9
large,valueIteration,2,0.5,0.0,-15,15,1.271927444E9
large,valueIteration,2,0.5,0.0,-19,19,1.318347251E9
