Algorithm,Iteration,N,Evaluation,TrainingTime
GA,30,10,9.0,245759.0
MIMIC,30,10,10.0,2819932.0
RHC,30,20,20.0,304443.0
SA,30,20,20.0,1023210.0
GA,30,20,17.0,378092.0
MIMIC,30,20,18.0,7386963.0
RHC,30,30,30.0,372972.0
SA,30,30,30.0,1101979.0
GA,30,30,22.0,519876.0
MIMIC,30,30,27.0,1.4536437E7
RHC,30,40,40.0,452135.0
SA,30,40,40.0,1155148.0
GA,30,40,25.0,639211.0
MIMIC,30,40,38.0,2.3570065E7
RHC,30,50,50.0,520663.0
SA,30,50,50.0,1245338.0
GA,30,50,29.0,789266.0
MIMIC,30,50,42.0,3.5049081E7
RHC,30,60,60.0,599433.0
SA,30,60,60.0,1322139.0
GA,30,60,45.0,912933.0
MIMIC,30,60,51.0,4.8228326E7
RHC,40,10,10.0,350522.0
SA,40,10,10.0,1324108.0
GA,40,10,9.0,319803.0
MIMIC,40,10,10.0,3778552.0
RHC,40,20,20.0,441107.0
SA,40,20,20.0,1368219.0
GA,40,20,13.0,491913.0
MIMIC,40,20,20.0,9661419.0
RHC,40,30,30.0,513574.0
SA,40,30,30.0,1482433.0
GA,40,30,24.0,677808.0
MIMIC,40,30,28.0,1.8833289E7
RHC,40,40,40.0,587223.0
SA,40,40,40.0,1563566.0
GA,40,40,29.0,833377.0
MIMIC,40,40,37.0,3.0924339E7
RHC,40,50,50.0,695531.0
SA,40,50,50.0,1688021.0
GA,40,50,38.0,1028724.0
MIMIC,40,50,47.0,4.3523056E7
RHC,40,60,60.0,808958.0
SA,40,60,60.0,1750643.0
GA,40,60,39.0,1209499.0
MIMIC,40,60,52.0,6.2248825E7
RHC,50,10,10.0,424959.0
SA,50,10,10.0,1694716.0
GA,50,10,9.0,400934.0
MIMIC,50,10,10.0,4485898.0
RHC,50,20,20.0,515543.0
SA,50,20,20.0,1750642.0
GA,50,20,18.0,591556.0
MIMIC,50,20,18.0,1.2011494E7
RHC,50,30,30.0,629759.0
SA,50,30,30.0,1871947.0
GA,50,30,19.0,814472.0
MIMIC,50,30,30.0,2.3125021E7
RHC,50,40,40.0,730583.0
SA,50,40,40.0,1992464.0
GA,50,40,25.0,1032269.0
MIMIC,50,40,39.0,3.76587E7
RHC,50,50,50.0,863309.0
SA,50,50,50.0,2098408.0
GA,50,50,35.0,1252822.0
MIMIC,50,50,47.0,5.4226196E7
RHC,50,60,60.0,986977.0
SA,50,60,60.0,2201596.0
GA,50,60,40.0,1479283.0
MIMIC,50,60,55.0,8.0831234E7
RHC,60,10,10.0,505304.0
SA,60,10,10.0,1999947.0
GA,60,10,8.0,498608.0
MIMIC,60,10,10.0,5348419.0
RHC,60,20,20.0,610854.0
SA,60,20,20.0,2125189.0
GA,60,20,11.0,721918.0
MIMIC,60,20,20.0,1.4225692E7
RHC,60,30,30.0,735703.0
SA,60,30,30.0,2277608.0
GA,60,30,22.0,962557.0
MIMIC,60,30,27.0,2.7225738E7
RHC,60,40,40.0,860552.0
SA,60,40,40.0,2372130.0
GA,60,40,25.0,1218164.0
MIMIC,60,40,38.0,4.4671509E7
RHC,60,50,50.0,1030693.0
SA,60,50,50.0,2545029.0
GA,60,50,30.0,1519849.0
MIMIC,60,50,46.0,6.657876E7
RHC,60,60,60.0,1198865.0
SA,60,60,60.0,2682481.0
GA,60,60,42.0,1718347.0
MIMIC,60,60,57.0,1.01189098E8
RHC,10,10,10.0,90978.0
SA,10,10,10.0,296172.0
GA,10,10,9.0,96492.0
MIMIC,10,10,10.0,1056687.0
RHC,10,20,20.0,107914.0
SA,10,20,20.0,309562.0
GA,10,20,14.0,138240.0
MIMIC,10,20,18.0,3083021.0
RHC,10,30,30.0,133514.0
SA,10,30,30.0,332799.0
GA,10,30,23.0,184714.0
MIMIC,10,30,25.0,6059704.0
RHC,10,40,40.0,178018.0
SA,10,40,40.0,356036.0
GA,10,40,27.0,238276.0
MIMIC,10,40,33.0,9768939.0
RHC,10,50,50.0,186288.0
SA,10,50,50.0,388332.0
GA,10,50,35.0,292627.0
MIMIC,10,50,41.0,1.4242234E7
RHC,10,60,60.0,214646.0
SA,10,60,60.0,408417.0
GA,10,60,41.0,343827.0
MIMIC,10,60,48.0,2.0372042E7
RHC,20,10,10.0,177230.0
SA,20,10,10.0,623851.0
GA,20,10,9.0,163840.0
MIMIC,20,10,9.0,1918027.0
RHC,20,20,20.0,208738.0
SA,20,20,20.0,657328.0
GA,20,20,14.0,253242.0
MIMIC,20,20,19.0,5197183.0
RHC,20,30,30.0,251667.0
SA,20,30,30.0,736885.0
GA,20,30,25.0,347765.0
MIMIC,20,30,29.0,1.0128126E7
RHC,20,40,40.0,304048.0
SA,20,40,40.0,762091.0
GA,20,40,30.0,442682.0
MIMIC,20,40,35.0,1.7352036E7
RHC,20,50,50.0,362338.0
SA,20,50,50.0,840072.0
GA,20,50,31.0,540750.0
MIMIC,20,50,44.0,2.5293533E7
RHC,20,60,60.0,400147.0
SA,20,60,60.0,873943.0
GA,20,60,37.0,654965.0
MIMIC,20,60,55.0,3.4618608E7
RHC,30,10,10.0,258362.0
SA,30,10,10.0,973586.0
GA,30,10,9.0,246153.0
MIMIC,30,10,10.0,2795908.0
RHC,30,20,20.0,310744.0
SA,30,20,20.0,1034237.0
GA,30,20,18.0,380454.0
MIMIC,30,20,18.0,7485818.0
RHC,30,30,30.0,374941.0
SA,30,30,30.0,1114976.0
GA,30,30,19.0,503334.0
MIMIC,30,30,26.0,1.4799525E7
RHC,30,40,40.0,434411.0
SA,30,40,40.0,1172871.0
GA,30,40,27.0,643543.0
MIMIC,30,40,34.0,2.3789832E7
RHC,30,50,50.0,547445.0
SA,30,50,50.0,1246914.0
GA,30,50,35.0,792417.0
MIMIC,30,50,47.0,3.515857E7
RHC,30,60,60.0,607309.0
SA,30,60,60.0,1325290.0
GA,30,60,40.0,928294.0
MIMIC,30,60,53.0,5.3016304E7
RHC,40,10,10.0,344615.0
SA,40,10,10.0,1317807.0
GA,40,10,9.0,320590.0
MIMIC,40,10,9.0,3734442.0
RHC,40,20,20.0,413144.0
SA,40,20,20.0,1401302.0
GA,40,20,15.0,496246.0
MIMIC,40,20,19.0,9928840.0
RHC,40,30,30.0,500184.0
SA,40,30,30.0,1508821.0
GA,40,30,26.0,649451.0
MIMIC,40,30,26.0,1.914797E7
RHC,40,40,40.0,580528.0
SA,40,40,40.0,1575775.0
