Algorithm,Iteration,N,Evaluation,TrainingTime
MIMIC,60,60,18.0,2.96375795E8
RHC,60,100,9.0,255606.0
SA,60,100,6.0,330436.0
GA,60,100,13.0,1.2030009E7
MIMIC,60,100,17.0,7.12583796E8
RHC,60,200,4.0,327679.0
SA,60,200,2.0,395027.0
GA,60,200,10.0,1.332773E7
MIMIC,60,200,18.0,2.053643327E9
RHC,60,300,8.0,703015.0
SA,60,300,6.0,860946.0
GA,60,300,12.0,2.6922488E7
MIMIC,60,300,24.0,4.008101795E9
RHC,100,10,17.0,93342.0
SA,100,10,10.0,225673.0
GA,100,10,17.0,5255080.0
MIMIC,100,10,17.0,2.5202959E7
RHC,100,30,30.0,116578.0
SA,100,30,20.0,215434.0
GA,100,30,43.0,6111693.0
MIMIC,100,30,52.0,9.8148651E7
RHC,100,60,15.0,166991.0
SA,100,60,10.0,234338.0
GA,100,60,11.0,7663838.0
MIMIC,100,60,16.0,2.87464253E8
RHC,100,100,17.0,277267.0
SA,100,100,5.0,307594.0
GA,100,100,16.0,1.3868087E7
MIMIC,100,100,27.0,6.52470769E8
RHC,100,200,4.0,443076.0
SA,100,200,6.0,534842.0
GA,100,200,11.0,2.0406315E7
MIMIC,100,200,20.0,2.363994727E9
RHC,100,300,7.0,708134.0
SA,100,300,6.0,784934.0
GA,100,300,8.0,2.622932E7
MIMIC,100,300,33.0,5.210836106E9
RHC,200,10,10.0,175261.0
SA,200,10,10.0,584861.0
GA,200,10,17.0,1.4036652E7
MIMIC,200,10,17.0,5.0938396E7
RHC,200,30,30.0,242608.0
SA,200,30,53.0,630153.0
GA,200,30,53.0,1.2323425E7
MIMIC,200,30,48.0,3.0408847E8
RHC,200,60,30.0,608097.0
SA,200,60,36.0,1066139.0
GA,200,60,24.0,2.9862938E7
MIMIC,200,60,24.0,8.85267699E8
RHC,200,100,32.0,672294.0
SA,200,100,18.0,895605.0
GA,200,100,13.0,2.6766525E7
MIMIC,200,100,26.0,2.208545895E9
RHC,200,200,15.0,996823.0
SA,200,200,12.0,1157905.0
GA,200,200,13.0,4.2363593E7
MIMIC,200,200,33.0,5.743243089E9
RHC,200,300,6.0,1421388.0
SA,200,300,11.0,1578139.0
GA,200,300,12.0,7.3371439E7
MIMIC,200,300,36.0,1.2828600427E10
RHC,400,10,17.0,352886.0
SA,400,10,10.0,1267789.0
GA,400,10,17.0,2.0420099E7
MIMIC,400,10,17.0,1.04022068E8
RHC,400,30,30.0,480885.0
SA,400,30,53.0,1349708.0
GA,400,30,51.0,2.3994247E7
MIMIC,400,30,53.0,7.3262856E8
RHC,400,60,60.0,1063777.0
SA,400,60,55.0,2071233.0
GA,400,60,27.0,4.5628965E7
MIMIC,400,60,19.0,1.408623325E9
RHC,400,100,45.0,2446962.0
SA,400,100,54.0,3286640.0
GA,400,100,17.0,6.2825439E7
MIMIC,400,100,44.0,2.784177416E9
RHC,400,200,14.0,2973927.0
SA,400,200,13.0,3830147.0
GA,400,200,34.0,1.22052313E8
MIMIC,400,200,51.0,1.0680359754E10
RHC,400,300,21.0,2845533.0
SA,400,300,22.0,3178333.0
GA,400,300,10.0,1.49060265E8
MIMIC,400,300,48.0,2.4501731936E10
RHC,1000,10,10.0,840072.0
SA,1000,10,10.0,3350050.0
GA,1000,10,17.0,5.0685153E7
MIMIC,1000,10,17.0,4.63934193E8
RHC,1000,30,30.0,2539910.0
SA,1000,30,30.0,7882816.0
GA,1000,30,49.0,1.31276174E8
MIMIC,1000,30,53.0,1.51694264E9
RHC,1000,60,60.0,5267289.0
SA,1000,60,60.0,1.1255315E7
GA,1000,60,26.0,1.00204918E8
MIMIC,1000,60,43.0,3.147921264E9
RHC,1000,100,100.0,2774642.0
SA,1000,100,71.0,3682455.0
GA,1000,100,30.0,1.27807576E8
MIMIC,1000,100,56.0,8.032339831E9
RHC,1000,200,54.0,5973454.0
SA,1000,200,57.0,1.270703E7
GA,1000,200,13.0,3.03711954E8
MIMIC,1000,200,70.0,2.5718328425E10
RHC,1000,300,38.0,1.216313E7
SA,1000,300,33.0,9399909.0
GA,1000,300,16.0,2.56580074E8
MIMIC,1000,300,72.0,5.2862816932E10
RHC,10,10,10.0,23237.0
SA,10,10,0.0,35840.0
GA,10,10,17.0,1126004.0
MIMIC,10,10,17.0,5497295.0
RHC,10,30,5.0,24813.0
SA,10,30,0.0,37809.0
GA,10,30,39.0,1369400.0
MIMIC,10,30,45.0,2.2047468E7
RHC,10,60,13.0,31508.0
SA,10,60,1.0,39778.0
GA,10,60,9.0,1593499.0
MIMIC,10,60,15.0,6.5069571E7
RHC,10,100,5.0,44111.0
SA,10,100,2.0,54744.0
GA,10,100,10.0,2203959.0
MIMIC,10,100,23.0,1.37500507E8
RHC,10,200,2.0,67741.0
SA,10,200,1.0,3397705.0
GA,10,200,10.0,4817518.0
MIMIC,10,200,20.0,6.21768547E8
RHC,10,300,0.0,88221.0
SA,10,300,1.0,96886.0
GA,10,300,12.0,3792338.0
MIMIC,10,300,15.0,8.75283716E8
RHC,30,10,17.0,33083.0
SA,30,10,3.0,53170.0
GA,30,10,17.0,1651394.0
MIMIC,30,10,17.0,7873759.0
RHC,30,30,13.0,35446.0
SA,30,30,1.0,59864.0
GA,30,30,43.0,1959775.0
MIMIC,30,30,49.0,3.0954677E7
RHC,30,60,9.0,53169.0
SA,30,60,1.0,77588.0
GA,30,60,10.0,2495011.0
MIMIC,30,60,11.0,1.00534566E8
RHC,30,100,4.0,82314.0
SA,30,100,1.0,101612.0
GA,30,100,19.0,3387859.0
MIMIC,30,100,16.0,2.26624189E8
RHC,30,200,10.0,146511.0
SA,30,200,2.0,171717.0
GA,30,200,10.0,5803313.0
MIMIC,30,200,21.0,8.25097959E8
RHC,30,300,4.0,207951.0
SA,30,300,2.0,244578.0
GA,30,300,11.0,7595310.0
MIMIC,30,300,16.0,2.115501875E9
RHC,60,10,10.0,57107.0
SA,60,10,10.0,106338.0
GA,60,10,17.0,6394869.0
MIMIC,60,10,17.0,1.5302865E7
RHC,60,30,30.0,72074.0
SA,60,30,6.0,119729.0
GA,60,30,43.0,3778553.0
MIMIC,60,30,40.0,6.0294982E7
RHC,60,60,9.0,106732.0
SA,60,60,4.0,142965.0
GA,60,60,15.0,4725357.0
MIMIC,60,60,24.0,1.75347874E8
RHC,60,100,14.0,161082.0
SA,60,100,3.0,186289.0
GA,60,100,13.0,6373207.0
MIMIC,60,100,32.0,6.75667479E8
RHC,60,200,5.0,450165.0
SA,60,200,2.0,570682.0
GA,60,200,17.0,2.0743052E7
MIMIC,60,200,16.0,2.010657458E9
RHC,60,300,6.0,450560.0
SA,60,300,0.0,471433.0
GA,60,300,10.0,1.4128812E7
MIMIC,60,300,19.0,4.376613929E9
RHC,100,10,17.0,95704.0
SA,100,10,17.0,228037.0
GA,100,10,17.0,5293283.0
MIMIC,100,10,17.0,2.8469513E7
RHC,100,30,30.0,117366.0
SA,100,30,30.0,230006.0
GA,100,30,44.0,6147534.0
MIMIC,100,30,48.0,9.7934792E7
RHC,100,60,16.0,154387.0
SA,100,60,6.0,248911.0
GA,100,60,27.0,7809168.0
MIMIC,100,60,33.0,4.20836472E8
RHC,100,100,6.0,415113.0
SA,100,100,3.0,567925.0
GA,100,100,11.0,1.9241714E7
MIMIC,100,100,19.0,9.96601507E8
RHC,100,200,4.0,446227.0
SA,100,200,4.0,526571.0
GA,100,200,19.0,1.7383157E7
MIMIC,100,200,26.0,3.357538419E9
RHC,100,300,6.0,1298115.0
SA,100,300,2.0,1343013.0
GA,100,300,13.0,4.3295431E7
MIMIC,100,300,18.0,6.745339134E9
RHC,200,10,10.0,326104.0
SA,200,10,17.0,1068503.0
GA,200,10,17.0,1.8942784E7
MIMIC,200,10,17.0,8.6612917E7
RHC,200,30,30.0,378880.0
SA,200,30,30.0,996035.0
GA,200,30,53.0,1.9847448E7
MIMIC,200,30,53.0,2.47934379E8
RHC,200,60,43.0,381242.0
SA,200,60,25.0,628971.0
GA,200,60,9.0,3.306372E7
MIMIC,200,60,32.0,1.126339321E9
RHC,200,100,20.0,887728.0
SA,200,100,24.0,1319382.0
GA,200,100,25.0,4.1331323E7
MIMIC,200,100,18.0,1.985189836E9
RHC,200,200,16.0,1012183.0
SA,200,200,3.0,1166176.0
GA,200,200,10.0,5.0888771E7
MIMIC,200,200,24.0,6.62076818E9
RHC,200,300,10.0,1439899.0
SA,200,300,4.0,1566323.0
GA,200,300,16.0,8.021608E7
MIMIC,200,300,42.0,1.5285742361E10
RHC,400,10,10.0,398178.0
SA,400,10,17.0,1441868.0
GA,400,10,17.0,2.3164415E7
MIMIC,400,10,17.0,1.07737212E8
RHC,400,30,30.0,473402.0
SA,400,30,30.0,1370582.0
GA,400,30,53.0,2.6137554E7
MIMIC,400,30,49.0,7.26285285E8
RHC,400,60,60.0,1180749.0
SA,400,60,60.0,2327626.0
GA,400,60,25.0,6.4249191E7
MIMIC,400,60,41.0,1.922990216E9
RHC,400,100,39.0,1761277.0
SA,400,100,58.0,2983773.0
GA,400,100,23.0,7.4530133E7
MIMIC,400,100,50.0,4.14909768E9
RHC,400,200,29.0,1846348.0
SA,400,200,19.0,2267762.0
GA,400,200,14.0,7.26956E7
MIMIC,400,200,60.0,1.1996419945E10
