Algorithm,Iteration,Evaluation,TrainingTime
RHC,10,20.0,78769.0
SA,10,30.0,180382.0
GA,10,32.0,558869.0
MIMIC,10,12.0,5863981.0
RHC,20,35.0,166204.0
SA,20,20.0,466708.0
GA,20,34.0,968469.0
MIMIC,20,35.0,1.0068687E7
RHC,40,20.0,309169.0
SA,40,20.0,1010216.0
GA,40,30.0,1815632.0
MIMIC,40,34.0,1.8977495E7
RHC,60,20.0,480099.0
SA,60,20.0,1699054.0
GA,60,34.0,2782526.0
MIMIC,60,34.0,2.7861886E7
RHC,80,20.0,620308.0
SA,80,20.0,2107473.0
GA,80,34.0,3585579.0
MIMIC,80,33.0,3.6255543E7
RHC,100,20.0,787693.0
SA,100,20.0,2689972.0
GA,100,30.0,4379180.0
MIMIC,100,35.0,4.9539199E7
RHC,10,20.0,80738.0
SA,10,20.0,182744.0
GA,10,33.0,549022.0
MIMIC,10,29.0,6097926.0
RHC,20,20.0,156751.0
SA,20,20.0,460407.0
GA,20,31.0,972801.0
MIMIC,20,32.0,1.008129E7
RHC,40,20.0,304444.0
SA,40,20.0,1236285.0
GA,40,32.0,1864469.0
MIMIC,40,32.0,1.9150788E7
RHC,60,20.0,477736.0
SA,60,20.0,1715990.0
GA,60,34.0,2729751.0
MIMIC,60,35.0,2.836601E7
RHC,80,20.0,635274.0
SA,80,20.0,2116137.0
GA,80,30.0,3535167.0
MIMIC,80,35.0,3.5817192E7
RHC,100,20.0,760124.0
SA,100,35.0,2793947.0
GA,100,31.0,4710405.0
MIMIC,100,32.0,4.5971343E7
RHC,10,20.0,79557.0
SA,10,19.0,162265.0
GA,10,31.0,512788.0
MIMIC,10,33.0,5665482.0
RHC,20,20.0,153994.0
SA,20,35.0,449379.0
GA,20,35.0,946807.0
MIMIC,20,33.0,1.0279001E7
RHC,40,20.0,309564.0
SA,40,20.0,1001946.0
GA,40,31.0,1822328.0
MIMIC,40,34.0,1.8765606E7
RHC,60,20.0,460407.0
SA,60,35.0,1757343.0
GA,60,34.0,2776618.0
MIMIC,60,34.0,2.7959166E7
RHC,80,20.0,645908.0
SA,80,20.0,2209479.0
GA,80,33.0,3662379.0
MIMIC,80,34.0,3.9704852E7
RHC,100,20.0,800690.0
SA,100,35.0,2790009.0
GA,100,35.0,4567438.0
MIMIC,100,35.0,4.5034383E7
RHC,10,20.0,82314.0
SA,10,20.0,187471.0
GA,10,33.0,530905.0
MIMIC,10,34.0,5780879.0
RHC,20,20.0,155570.0
SA,20,20.0,447410.0
GA,20,31.0,1042906.0
MIMIC,20,13.0,1.0277032E7
RHC,40,20.0,306807.0
SA,40,20.0,1017306.0
GA,40,33.0,1835719.0
MIMIC,40,10.0,1.9460745E7
RHC,60,20.0,456075.0
SA,60,20.0,1545454.0
GA,60,34.0,2722267.0
MIMIC,60,35.0,2.7424322E7
RHC,80,20.0,612431.0
SA,80,35.0,2152765.0
GA,80,35.0,3550133.0
MIMIC,80,29.0,3.7956961E7
RHC,100,20.0,798721.0
SA,100,35.0,2803793.0
GA,100,31.0,4566256.0
MIMIC,100,33.0,4.5742125E7
RHC,10,20.0,80739.0
SA,10,20.0,177231.0
GA,10,34.0,510031.0
MIMIC,10,29.0,5767882.0
RHC,20,20.0,178807.0
SA,20,35.0,545477.0
GA,20,32.0,1022426.0
MIMIC,20,6.0,1.0658669E7
RHC,40,35.0,333588.0
SA,40,20.0,1045269.0
GA,40,33.0,2050759.0
MIMIC,40,35.0,1.9081472E7
RHC,60,20.0,476161.0
SA,60,20.0,1640371.0
GA,60,34.0,2702181.0
MIMIC,60,33.0,3.1270627E7
RHC,80,20.0,617552.0
SA,80,35.0,2147645.0
GA,80,34.0,3665529.0
MIMIC,80,35.0,3.7164541E7
RHC,100,35.0,793207.0
SA,100,20.0,2668704.0
GA,100,35.0,4382331.0
MIMIC,100,35.0,4.6210015E7
RHC,10,20.0,81527.0
SA,10,20.0,183532.0
GA,10,29.0,513182.0
MIMIC,10,33.0,5885249.0
RHC,20,20.0,151631.0
SA,20,35.0,466315.0
GA,20,35.0,939324.0
MIMIC,20,11.0,1.0291604E7
RHC,40,20.0,310745.0
SA,40,35.0,1004703.0
GA,40,30.0,1794364.0
MIMIC,40,34.0,1.8690381E7
RHC,60,20.0,458831.0
SA,60,20.0,1573810.0
GA,60,35.0,2717541.0
MIMIC,60,35.0,2.7925689E7
RHC,80,20.0,613613.0
SA,80,35.0,2142919.0
GA,80,28.0,3678527.0
MIMIC,80,33.0,3.7714744E7
RHC,100,20.0,783361.0
SA,100,35.0,2772680.0
GA,100,30.0,4470946.0
MIMIC,100,35.0,7.2234212E7
RHC,10,35.0,224493.0
SA,10,35.0,479311.0
GA,10,32.0,1376888.0
MIMIC,10,31.0,1.5397824E7
RHC,20,20.0,424960.0
SA,20,20.0,1304420.0
GA,20,30.0,2526920.0
MIMIC,20,14.0,2.7161626E7
RHC,40,20.0,903877.0
SA,40,20.0,2811671.0
GA,40,35.0,4920718.0
MIMIC,40,27.0,5.1814057E7
RHC,60,20.0,1271731.0
SA,60,20.0,4295291.0
GA,60,29.0,7186518.0
MIMIC,60,35.0,7.3910817E7
RHC,80,20.0,1538364.0
SA,80,20.0,5450048.0
GA,80,35.0,8930470.0
MIMIC,80,16.0,8.2569927E7
RHC,100,20.0,1660063.0
SA,100,35.0,5958110.0
GA,100,31.0,9505880.0
MIMIC,100,35.0,9.0178648E7
RHC,10,20.0,150844.0
SA,10,20.0,312714.0
GA,10,34.0,989736.0
MIMIC,10,35.0,1.0719322E7
RHC,20,20.0,289477.0
SA,20,20.0,888912.0
GA,20,29.0,1814057.0
MIMIC,20,34.0,1.9287847E7
RHC,40,20.0,550991.0
SA,40,20.0,1740802.0
GA,40,35.0,3154317.0
MIMIC,40,33.0,3.2460831E7
RHC,60,20.0,790450.0
SA,60,35.0,2722267.0
GA,60,33.0,4656842.0
MIMIC,60,35.0,4.7313573E7
RHC,80,20.0,970044.0
SA,80,35.0,3409923.0
GA,80,33.0,5623341.0
MIMIC,80,29.0,1.01564753E8
RHC,100,20.0,2095658.0
SA,100,35.0,7510259.0
GA,100,35.0,1.2152923E7
MIMIC,100,34.0,1.16763684E8
RHC,10,20.0,179594.0
SA,10,20.0,410388.0
GA,10,30.0,1173662.0
MIMIC,10,31.0,1.3139902E7
RHC,20,20.0,361945.0
SA,20,20.0,1053539.0
GA,20,32.0,2201209.0
MIMIC,20,35.0,2.288209E7
RHC,40,20.0,712074.0
SA,40,35.0,2218143.0
GA,40,34.0,3734846.0
MIMIC,40,35.0,3.8213354E7
RHC,60,20.0,958228.0
SA,60,35.0,3231510.0
GA,60,33.0,5542209.0
MIMIC,60,33.0,5.4600915E7
RHC,80,20.0,1109859.0
SA,80,20.0,3880570.0
GA,80,33.0,6531157.0
MIMIC,80,34.0,6.3931928E7
RHC,100,35.0,1305602.0
SA,100,35.0,4480004.0
GA,100,35.0,7255441.0
MIMIC,100,35.0,7.6520839E7
RHC,10,20.0,116184.0
SA,10,20.0,270179.0
GA,10,31.0,761306.0
MIMIC,10,35.0,8427134.0
RHC,20,20.0,227643.0
SA,20,35.0,682536.0
GA,20,35.0,1416273.0
MIMIC,20,33.0,1.5052027E7
RHC,40,20.0,459225.0
SA,40,20.0,1512371.0
GA,40,35.0,2722661.0
MIMIC,40,30.0,2.821044E7
RHC,60,20.0,690019.0
SA,60,35.0,2381984.0
GA,60,31.0,3928619.0
MIMIC,60,20.0,3.79672E7
RHC,80,35.0,864887.0
SA,80,20.0,2937701.0
GA,80,35.0,4897876.0
MIMIC,80,31.0,5.0695139E7
RHC,100,20.0,1043693.0
SA,100,20.0,3733665.0
GA,100,35.0,6093987.0
MIMIC,100,35.0,5.740786E7
RHC,10,20.0,98461.0
SA,10,35.0,212677.0
GA,10,35.0,647878.0
MIMIC,10,34.0,6965570.0
RHC,20,20.0,194167.0
SA,20,35.0,589588.0
GA,20,33.0,1203988.0
MIMIC,20,35.0,1.2501871E7
RHC,40,20.0,393453.0
SA,40,35.0,1282364.0
GA,40,29.0,2248076.0
MIMIC,40,32.0,2.3923814E7
RHC,60,20.0,590376.0
SA,60,20.0,2040913.0
GA,60,35.0,3408348.0
MIMIC,60,35.0,3.4640379E7
RHC,80,20.0,774302.0
SA,80,35.0,2745504.0
GA,80,32.0,8613424.0
MIMIC,80,30.0,1.01948359E8
RHC,100,20.0,2098414.0
SA,100,35.0,7459454.0
GA,100,35.0,1.212299E7
MIMIC,100,35.0,1.17132719E8
RHC,10,20.0,181563.0
SA,10,35.0,421809.0
GA,10,32.0,1171300.0
MIMIC,10,30.0,1.3246635E7
RHC,20,20.0,364702.0
SA,20,35.0,1091349.0
GA,20,32.0,2188999.0
MIMIC,20,34.0,2.3455924E7
RHC,40,20.0,720346.0
SA,40,35.0,2372926.0
GA,40,35.0,4253542.0
MIMIC,40,33.0,3.9525651E7
RHC,60,20.0,942869.0
SA,60,20.0,3208274.0
GA,60,35.0,5457532.0
MIMIC,60,31.0,5.6724142E7
RHC,80,35.0,1302450.0
SA,80,35.0,3947130.0
GA,80,35.0,6557545.0
MIMIC,80,35.0,6.6360385E7
RHC,100,20.0,1383189.0
SA,100,35.0,4945531.0
GA,100,35.0,7307429.0
MIMIC,100,35.0,9.4449521E7
RHC,10,20.0,214647.0
SA,10,20.0,487188.0
GA,10,34.0,1395399.0
MIMIC,10,35.0,1.5674304E7
RHC,20,20.0,420628.0
SA,20,35.0,1272124.0
GA,20,35.0,2632864.0
MIMIC,20,32.0,2.7429443E7
RHC,40,20.0,845982.0
SA,40,35.0,2848692.0
GA,40,35.0,4996731.0
MIMIC,40,34.0,5.1441084E7
RHC,60,20.0,1247312.0
SA,60,35.0,4341764.0
GA,60,35.0,7277497.0
MIMIC,60,17.0,6.6187486E7
RHC,80,20.0,1428875.0
SA,80,20.0,5018392.0
GA,80,33.0,8208156.0
MIMIC,80,35.0,7.8594441E7
RHC,100,20.0,1571447.0
SA,100,35.0,5574110.0
GA,100,35.0,9100218.0
MIMIC,100,35.0,8.3889313E7
RHC,10,20.0,143754.0
SA,10,20.0,319015.0
GA,10,31.0,932235.0
MIMIC,10,28.0,1.0364859E7
RHC,20,20.0,284751.0
SA,20,35.0,844407.0
GA,20,34.0,1725047.0
MIMIC,20,14.0,1.7640386E7
RHC,40,20.0,511213.0
SA,40,35.0,1697085.0
GA,40,32.0,3015289.0
MIMIC,40,33.0,3.0473088E7
RHC,60,20.0,752641.0
SA,60,20.0,2582058.0
GA,60,32.0,4387450.0
MIMIC,60,35.0,4.7322631E7
RHC,80,20.0,924358.0
SA,80,35.0,3237419.0
GA,80,30.0,5309839.0
MIMIC,80,33.0,5.4791931E7
RHC,100,20.0,1154758.0
SA,100,35.0,4038897.0
GA,100,35.0,6661520.0
MIMIC,100,35.0,6.1688577E7
RHC,10,20.0,107914.0
SA,10,35.0,239458.0
GA,10,34.0,699472.0
MIMIC,10,35.0,7527195.0
RHC,20,20.0,207951.0
SA,20,20.0,627398.0
GA,20,34.0,1304420.0
MIMIC,20,19.0,1.3801958E7
RHC,40,20.0,424566.0
SA,40,35.0,1379645.0
GA,40,34.0,2328026.0
MIMIC,40,31.0,2.3444503E7
RHC,60,20.0,584468.0
SA,60,35.0,2013738.0
GA,60,35.0,3365813.0
MIMIC,60,34.0,3.4123259E7
RHC,80,20.0,777453.0
SA,80,35.0,2743535.0
GA,80,35.0,4489063.0
MIMIC,80,35.0,5.9483825E7
RHC,100,20.0,2096839.0
SA,100,20.0,7380684.0
GA,100,31.0,1.2089514E7
MIMIC,100,32.0,1.24253858E8
RHC,10,20.0,213465.0
SA,10,35.0,497822.0
GA,10,35.0,1387521.0
MIMIC,10,35.0,1.5364741E7
RHC,20,20.0,414327.0
SA,20,35.0,1223287.0
GA,20,32.0,2560791.0
MIMIC,20,30.0,2.4740652E7
RHC,40,20.0,725072.0
SA,40,20.0,2328027.0
GA,40,33.0,4219278.0
MIMIC,40,32.0,4.352083E7
RHC,60,20.0,1081896.0
SA,60,20.0,3700976.0
GA,60,34.0,6131402.0
MIMIC,60,33.0,5.6546911E7
RHC,80,35.0,1300875.0
SA,80,35.0,4432349.0
GA,80,34.0,7197939.0
MIMIC,80,35.0,6.7536805E7
RHC,100,20.0,1402487.0
SA,100,20.0,4959315.0
GA,100,35.0,8031712.0
MIMIC,100,35.0,8.82232E7
RHC,10,20.0,219767.0
SA,10,35.0,492702.0
GA,10,32.0,1386340.0
MIMIC,10,35.0,1.5392705E7
RHC,20,20.0,413539.0
SA,20,35.0,1256764.0
GA,20,35.0,2579695.0
MIMIC,20,32.0,2.695407E7
RHC,40,20.0,848739.0
SA,40,20.0,2755744.0
GA,40,35.0,4977433.0
MIMIC,40,31.0,5.2420187E7
RHC,60,20.0,1257946.0
SA,60,20.0,4314983.0
GA,60,33.0,7235749.0
MIMIC,60,35.0,7.1410286E7
RHC,80,20.0,1429663.0
SA,80,20.0,4988067.0
GA,80,34.0,8275110.0
MIMIC,80,33.0,7.9938638E7
RHC,100,20.0,1591534.0
SA,100,35.0,5660757.0
GA,100,35.0,9084464.0
MIMIC,100,33.0,8.7272061E7
RHC,10,20.0,140209.0
SA,10,35.0,320198.0
GA,10,33.0,926327.0
MIMIC,10,35.0,1.0180933E7
RHC,20,20.0,281206.0
SA,20,35.0,826290.0
GA,20,29.0,1714414.0
MIMIC,20,34.0,1.8051168E7
RHC,40,20.0,565563.0
SA,40,35.0,1869983.0
GA,40,34.0,3314218.0
MIMIC,40,20.0,3.5827433E7
RHC,60,20.0,745552.0
SA,60,35.0,2618292.0
GA,60,34.0,4334675.0
MIMIC,60,34.0,4.5087158E7
RHC,80,20.0,1013761.0
SA,80,35.0,3504840.0
GA,80,35.0,5876584.0
MIMIC,80,35.0,5.597544E7
RHC,100,20.0,1133490.0
SA,100,20.0,4111364.0
GA,100,34.0,6477200.0
MIMIC,100,32.0,6.4099707E7
RHC,10,20.0,109095.0
SA,10,35.0,244185.0
GA,10,35.0,700653.0
MIMIC,10,35.0,7702457.0
RHC,20,20.0,210314.0
SA,20,20.0,627004.0
GA,20,32.0,1309146.0
MIMIC,20,9.0,1.4429356E7
RHC,40,20.0,421416.0
SA,40,35.0,1394611.0
GA,40,35.0,2524162.0
MIMIC,40,32.0,2.5193182E7
RHC,60,20.0,585256.0
SA,60,20.0,2017676.0
GA,60,33.0,3427253.0
MIMIC,60,35.0,3.4008649E7
RHC,80,20.0,779816.0
SA,80,35.0,2734082.0
GA,80,33.0,4506786.0
MIMIC,80,29.0,9.8529377E7
RHC,100,20.0,2107473.0
SA,100,20.0,7366506.0
GA,100,35.0,1.203083E7
MIMIC,100,35.0,1.15981899E8
RHC,10,20.0,178807.0
SA,10,35.0,416690.0
GA,10,30.0,1177601.0
MIMIC,10,31.0,1.3304136E7
RHC,20,20.0,355644.0
SA,20,20.0,1100407.0
GA,20,29.0,2168519.0
MIMIC,20,35.0,2.3344859E7
RHC,40,20.0,730192.0
SA,40,20.0,2413886.0
GA,40,32.0,4251574.0
MIMIC,40,31.0,4.0744606E7
RHC,60,20.0,947594.0
SA,60,20.0,3249628.0
GA,60,34.0,5532363.0
MIMIC,60,28.0,5.7530346E7
RHC,80,35.0,1287091.0
SA,80,20.0,4141690.0
GA,80,35.0,6454751.0
MIMIC,80,33.0,6.5525037E7
RHC,100,20.0,4635180.0
SA,100,35.0,4975857.0
GA,100,35.0,8099060.0
MIMIC,100,33.0,7.3966744E7
RHC,10,20.0,130363.0
SA,10,35.0,302474.0
GA,10,34.0,840075.0
MIMIC,10,34.0,8620907.0
RHC,20,35.0,233157.0
SA,20,20.0,684505.0
GA,20,31.0,1419423.0
MIMIC,20,30.0,1.4973258E7
RHC,40,20.0,456862.0
SA,40,35.0,1547817.0
GA,40,32.0,2677762.0
MIMIC,40,33.0,2.7737824E7
RHC,60,20.0,690413.0
SA,60,35.0,2340236.0
GA,60,35.0,4022749.0
MIMIC,60,29.0,4.0070735E7
RHC,80,20.0,832592.0
SA,80,20.0,2910526.0
GA,80,35.0,4873851.0
MIMIC,80,35.0,5.0619127E7
RHC,100,20.0,1040542.0
SA,100,20.0,3730514.0
GA,100,35.0,5993557.0
MIMIC,100,35.0,6.0453081E7
RHC,10,20.0,100037.0
SA,10,35.0,224493.0
GA,10,35.0,653392.0
MIMIC,10,32.0,7004167.0
RHC,20,20.0,194166.0
SA,20,35.0,566745.0
GA,20,32.0,1198475.0
MIMIC,20,35.0,1.2633415E7
RHC,40,20.0,385969.0
SA,40,20.0,1281576.0
GA,40,33.0,2296519.0
MIMIC,40,33.0,2.3402755E7
RHC,60,20.0,590376.0
SA,60,35.0,1989319.0
GA,60,32.0,3394563.0
MIMIC,60,35.0,3.4110655E7
RHC,80,20.0,781785.0
SA,80,20.0,2703757.0
GA,80,35.0,4499303.0
MIMIC,80,34.0,4.5574346E7
RHC,100,20.0,959410.0
SA,100,20.0,3408742.0
GA,100,32.0,5639488.0
MIMIC,100,35.0,5.6279489E7
RHC,10,20.0,101612.0
SA,10,35.0,235914.0
GA,10,35.0,653391.0
MIMIC,10,30.0,1.0094286E7
RHC,20,20.0,196923.0
SA,20,20.0,580924.0
GA,20,29.0,1187448.0
MIMIC,20,31.0,1.2477452E7
RHC,40,20.0,389120.0
SA,40,35.0,1296149.0
GA,40,35.0,2320937.0
MIMIC,40,35.0,2.3546509E7
RHC,60,20.0,580136.0
SA,60,35.0,2030279.0
GA,60,34.0,3436312.0
MIMIC,60,35.0,3.498657E7
RHC,80,35.0,804628.0
SA,80,35.0,2756138.0
GA,80,35.0,4524903.0
MIMIC,80,35.0,4.5470765E7
RHC,100,20.0,977527.0
SA,100,35.0,3439068.0
GA,100,30.0,5500067.0
MIMIC,100,35.0,5.6819059E7
RHC,10,35.0,103976.0
SA,10,20.0,233551.0
GA,10,32.0,651028.0
MIMIC,10,31.0,7085693.0
RHC,20,20.0,193379.0
SA,20,35.0,585650.0
GA,20,34.0,1187841.0
MIMIC,20,32.0,1.2534166E7
RHC,40,20.0,385575.0
SA,40,35.0,1289060.0
GA,40,33.0,2287854.0
MIMIC,40,31.0,2.7145085E7
RHC,60,20.0,587619.0
SA,60,20.0,1982230.0
GA,60,35.0,3402834.0
MIMIC,60,7.0,3.6008208E7
RHC,80,20.0,781391.0
SA,80,35.0,2734083.0
GA,80,35.0,4487488.0
MIMIC,80,30.0,4.6419541E7
RHC,100,20.0,978709.0
SA,100,20.0,3510355.0
GA,100,35.0,5612707.0
MIMIC,100,35.0,5.6738714E7
RHC,10,35.0,106338.0
SA,10,20.0,217797.0
GA,10,32.0,647090.0
MIMIC,10,32.0,7033311.0
RHC,20,20.0,195742.0
SA,20,20.0,562807.0
GA,20,32.0,1189023.0
MIMIC,20,32.0,1.2937072E7
RHC,40,20.0,394241.0
SA,40,20.0,1287484.0
GA,40,31.0,2294550.0
MIMIC,40,30.0,2.3942325E7
RHC,60,35.0,3666318.0
SA,60,20.0,1992076.0
GA,60,34.0,3403228.0
MIMIC,60,35.0,3.4660071E7
RHC,80,20.0,780210.0
SA,80,20.0,2721873.0
GA,80,31.0,4467007.0
MIMIC,80,30.0,4.5912661E7
RHC,100,20.0,962167.0
SA,100,35.0,3424889.0
GA,100,32.0,5526060.0
MIMIC,100,35.0,5.6319268E7
RHC,10,35.0,103975.0
SA,10,35.0,230006.0
GA,10,30.0,639606.0
MIMIC,10,30.0,7112081.0
RHC,20,20.0,193378.0
SA,20,20.0,558474.0
GA,20,34.0,1221712.0
MIMIC,20,35.0,1.2397107E7
RHC,40,20.0,387939.0
SA,40,35.0,1274094.0
GA,40,30.0,2255953.0
MIMIC,40,31.0,2.3687112E7
RHC,60,20.0,580924.0
SA,60,20.0,1977109.0
GA,60,35.0,3406772.0
MIMIC,60,34.0,6.8370972E7
RHC,80,20.0,1690390.0
SA,80,20.0,5812781.0
GA,80,35.0,9681930.0
MIMIC,80,34.0,9.869558E7
RHC,100,20.0,2110624.0
SA,100,20.0,7324758.0
GA,100,35.0,1.1668098E7
MIMIC,100,35.0,1.08601609E8
RHC,10,20.0,175656.0
SA,10,35.0,384394.0
GA,10,35.0,1114191.0
MIMIC,10,28.0,1.2678314E7
RHC,20,20.0,333194.0
SA,20,35.0,1016518.0
GA,20,29.0,2034217.0
MIMIC,20,35.0,2.1812797E7
RHC,40,20.0,676628.0
SA,40,20.0,2248076.0
GA,40,29.0,3886084.0
MIMIC,40,33.0,3.762101E7
RHC,60,20.0,879853.0
SA,60,20.0,3055855.0
GA,60,34.0,5235403.0
MIMIC,60,32.0,5.3942404E7
RHC,80,20.0,1184690.0
SA,80,35.0,3857333.0
GA,80,32.0,6100683.0
MIMIC,80,33.0,8.2501792E7
RHC,100,20.0,2151190.0
SA,100,35.0,7486629.0
GA,100,35.0,1.2005624E7
MIMIC,100,35.0,1.22900601E8
RHC,10,35.0,191015.0
SA,10,20.0,408813.0
GA,10,33.0,1183509.0
MIMIC,10,31.0,1.3102486E7
RHC,20,20.0,363914.0
SA,20,20.0,1030302.0
GA,20,32.0,2235079.0
MIMIC,20,31.0,2.3398423E7
RHC,40,20.0,727828.0
SA,40,35.0,2386317.0
GA,40,34.0,4257088.0
MIMIC,40,35.0,4.3908376E7
RHC,60,20.0,948382.0
SA,60,35.0,3248052.0
GA,60,35.0,5470528.0
MIMIC,60,15.0,5.8272746E7
RHC,80,20.0,1255189.0
SA,80,20.0,4369727.0
GA,80,35.0,7250321.0
MIMIC,80,34.0,6.8184683E7
RHC,100,20.0,1405638.0
SA,100,20.0,4898664.0
GA,100,34.0,7981694.0
MIMIC,100,32.0,7.8337259E7
RHC,10,20.0,133908.0
SA,10,20.0,286327.0
GA,10,32.0,838893.0
MIMIC,10,12.0,9229400.0
RHC,20,20.0,254818.0
SA,20,35.0,751459.0
GA,20,34.0,1569085.0
MIMIC,20,35.0,1.5419092E7
RHC,40,20.0,455681.0
SA,40,35.0,1521823.0
GA,40,29.0,2671855.0
MIMIC,40,13.0,2.9129284E7
RHC,60,20.0,697108.0
SA,60,20.0,2390648.0
GA,60,35.0,4047561.0
MIMIC,60,35.0,4.0641418E7
RHC,80,20.0,840469.0
SA,80,20.0,2952667.0
GA,80,35.0,4842343.0
MIMIC,80,35.0,4.9154018E7
RHC,100,20.0,1042511.0
SA,100,35.0,3758477.0
GA,100,35.0,5979772.0
MIMIC,100,35.0,5.8598064E7
RHC,10,20.0,99249.0
SA,10,35.0,230401.0
GA,10,35.0,645909.0
MIMIC,10,29.0,7236930.0
RHC,20,20.0,191015.0
SA,20,35.0,583287.0
GA,20,32.0,4350035.0
MIMIC,20,35.0,1.2593637E7
RHC,40,20.0,384001.0
SA,40,35.0,1287485.0
GA,40,35.0,2307547.0
MIMIC,40,35.0,2.3591408E7
RHC,60,20.0,577773.0
SA,60,20.0,2010587.0
GA,60,32.0,3394957.0
MIMIC,60,31.0,3.463841E7
RHC,80,20.0,777059.0
SA,80,35.0,2723449.0
GA,80,35.0,4531599.0
MIMIC,80,31.0,4.6085953E7
RHC,100,20.0,961774.0
SA,100,20.0,3399290.0
GA,100,35.0,5611919.0
MIMIC,100,29.0,5.8039589E7
RHC,10,20.0,98067.0
SA,10,35.0,235127.0
GA,10,32.0,645121.0
MIMIC,10,25.0,7509472.0
RHC,20,20.0,197711.0
SA,20,20.0,582892.0
GA,20,34.0,1207534.0
MIMIC,20,34.0,1.2329366E7
RHC,40,20.0,384394.0
SA,40,20.0,1269368.0
GA,40,34.0,2295732.0
MIMIC,40,35.0,2.6014351E7
RHC,60,20.0,575804.0
SA,60,35.0,1991288.0
GA,60,35.0,3394564.0
MIMIC,60,33.0,3.419927E7
RHC,80,20.0,771545.0
SA,80,35.0,2711240.0
GA,80,35.0,4553654.0
MIMIC,80,35.0,4.4799256E7
RHC,100,20.0,968862.0
SA,100,35.0,3422920.0
GA,100,35.0,5577655.0
MIMIC,100,35.0,5.597347E7
RHC,10,20.0,100431.0
SA,10,35.0,231582.0
GA,10,34.0,652210.0
MIMIC,10,33.0,7008105.0
RHC,20,20.0,191409.0
SA,20,20.0,579742.0
GA,20,35.0,1189811.0
MIMIC,20,34.0,1.2280529E7
RHC,40,20.0,389908.0
SA,40,35.0,1284334.0
GA,40,35.0,2296126.0
MIMIC,40,33.0,2.4000614E7
RHC,60,20.0,578955.0
SA,60,35.0,2011768.0
GA,60,35.0,3413862.0
MIMIC,60,25.0,3.8970328E7
RHC,80,20.0,769182.0
SA,80,20.0,2696667.0
GA,80,34.0,4479216.0
MIMIC,80,35.0,4.5085583E7
RHC,100,20.0,969256.0
SA,100,20.0,3440643.0
GA,100,32.0,5505581.0
MIMIC,100,32.0,5.6669003E7
RHC,10,20.0,101219.0
SA,10,35.0,232369.0
GA,10,32.0,632911.0
MIMIC,10,34.0,6983687.0
RHC,20,20.0,194560.0
SA,20,35.0,594315.0
GA,20,35.0,1204777.0
MIMIC,20,11.0,1.2839791E7
RHC,40,20.0,392271.0
SA,40,20.0,1269761.0
GA,40,35.0,2301246.0
MIMIC,40,35.0,2.3788725E7
RHC,60,20.0,580530.0
SA,60,35.0,2034217.0
GA,60,34.0,3447339.0
MIMIC,60,35.0,3.4847542E7
RHC,80,20.0,772727.0
SA,80,35.0,2756926.0
GA,80,35.0,4523722.0
MIMIC,80,30.0,4.8358053E7
RHC,100,20.0,957048.0
SA,100,20.0,3443794.0
GA,100,32.0,5571747.0
MIMIC,100,35.0,5.655085E7
RHC,10,20.0,100825.0
SA,10,35.0,222917.0
GA,10,30.0,642363.0
MIMIC,10,12.0,7129410.0
RHC,20,20.0,195741.0
SA,20,35.0,563594.0
GA,20,35.0,1192961.0
MIMIC,20,29.0,1.314581E7
RHC,40,20.0,384000.0
SA,40,20.0,1288272.0
GA,40,35.0,2309910.0
MIMIC,40,35.0,2.3000638E7
RHC,60,20.0,577773.0
SA,60,20.0,1975141.0
GA,60,33.0,3443006.0
MIMIC,60,35.0,3.5187432E7
RHC,80,20.0,772333.0
SA,80,20.0,2279978.0
GA,80,35.0,3817161.0
MIMIC,80,33.0,4.0182588E7
RHC,100,20.0,836136.0
SA,100,35.0,2795129.0
GA,100,35.0,4678110.0
MIMIC,100,35.0,4.4926075E7
RHC,10,20.0,80344.0
SA,10,35.0,185895.0
GA,10,31.0,510425.0
MIMIC,10,10.0,5720621.0
RHC,20,20.0,152813.0
SA,20,35.0,458044.0
GA,20,33.0,959016.0
MIMIC,20,35.0,1.0096256E7
RHC,40,20.0,305231.0
SA,40,20.0,977921.0
GA,40,34.0,1821146.0
MIMIC,40,32.0,1.9559207E7
RHC,60,20.0,466708.0
SA,60,35.0,1617134.0
GA,60,35.0,2786859.0
MIMIC,60,35.0,2.7833135E7
RHC,80,20.0,614794.0
SA,80,20.0,2172852.0
GA,80,29.0,3513505.0
MIMIC,80,30.0,4.157641E7
RHC,100,20.0,2068482.0
SA,100,20.0,7284586.0
GA,100,35.0,1.1865415E7
MIMIC,100,35.0,1.21498114E8
RHC,10,20.0,213465.0
SA,10,33.0,465133.0
GA,10,32.0,1378856.0
MIMIC,10,33.0,1.5421455E7
RHC,20,20.0,424566.0
SA,20,35.0,1265823.0
GA,20,35.0,2597418.0
MIMIC,20,10.0,2.6919411E7
RHC,40,20.0,786906.0
SA,40,35.0,2516679.0
GA,40,32.0,4625334.0
MIMIC,40,34.0,4.7567604E7
RHC,60,20.0,1174057.0
SA,60,20.0,3994785.0
GA,60,34.0,6812363.0
MIMIC,60,31.0,6.2290769E7
RHC,80,35.0,1385946.0
SA,80,35.0,4748214.0
GA,80,35.0,7731602.0
MIMIC,80,35.0,7.4810362E7
RHC,100,20.0,1493072.0
SA,100,20.0,5310233.0
GA,100,35.0,8540169.0
MIMIC,100,13.0,8.4528132E7
RHC,10,20.0,137059.0
SA,10,20.0,295778.0
