Algorithm,Iteration,Evaluation,TrainingTime
MIMIC,60,32.0,5.9917056E7
RHC,80,20.0,1351288.0
SA,80,20.0,4785235.0
GA,80,35.0,7248352.0
MIMIC,80,31.0,7.900601E7
RHC,100,20.0,2086599.0
SA,100,20.0,7342087.0
GA,100,34.0,1.2070608E7
MIMIC,100,35.0,1.21897474E8
RHC,10,20.0,208738.0
SA,10,35.0,498610.0
GA,10,33.0,1397761.0
MIMIC,10,33.0,1.5322993E7
RHC,20,20.0,418265.0
SA,20,20.0,1254007.0
GA,20,35.0,2571424.0
MIMIC,20,30.0,2.7499547E7
RHC,40,20.0,857798.0
SA,40,20.0,2751806.0
GA,40,33.0,4963648.0
MIMIC,40,35.0,4.6733043E7
RHC,60,35.0,1104346.0
SA,60,20.0,3681283.0
GA,60,34.0,6348807.0
MIMIC,60,35.0,5.961537E7
RHC,80,20.0,1275669.0
SA,80,35.0,4402417.0
GA,80,35.0,7225902.0
MIMIC,80,33.0,7.1754902E7
RHC,100,20.0,4448497.0
SA,100,20.0,4950257.0
GA,100,33.0,8077005.0
MIMIC,100,35.0,7.8109222E7
RHC,10,20.0,130757.0
SA,10,35.0,281994.0
GA,10,35.0,842044.0
MIMIC,10,33.0,9168748.0
RHC,20,20.0,259151.0
SA,20,35.0,758942.0
GA,20,35.0,1554906.0
MIMIC,20,35.0,1.6216631E7
RHC,40,35.0,519877.0
SA,40,35.0,1717565.0
GA,40,31.0,2935733.0
MIMIC,40,35.0,3.0428583E7
RHC,60,20.0,747127.0
SA,60,20.0,2440273.0
GA,60,34.0,4039684.0
MIMIC,60,33.0,4.0886785E7
RHC,80,20.0,908210.0
SA,80,35.0,3240176.0
GA,80,35.0,5363796.0
MIMIC,80,30.0,5.3079092E7
RHC,100,20.0,1058660.0
SA,100,35.0,8134113.0
GA,100,34.0,1.2174191E7
MIMIC,100,35.0,1.20843541E8
RHC,10,35.0,226068.0
SA,10,35.0,447804.0
GA,10,29.0,1394217.0
MIMIC,10,31.0,1.5370649E7
RHC,20,20.0,417084.0
SA,20,20.0,1213047.0
GA,20,34.0,2611990.0
MIMIC,20,28.0,2.781935E7
RHC,40,20.0,854647.0
SA,40,20.0,2814427.0
GA,40,33.0,4996338.0
MIMIC,40,35.0,4.5370334E7
RHC,60,20.0,1093711.0
SA,60,35.0,3737210.0
GA,60,34.0,6304302.0
MIMIC,60,35.0,6.1564122E7
RHC,80,20.0,1248100.0
SA,80,35.0,4442195.0
GA,80,32.0,7229447.0
MIMIC,80,35.0,7.1457547E7
RHC,100,20.0,1385946.0
SA,100,20.0,8036045.0
GA,100,35.0,8160107.0
MIMIC,100,33.0,7.9379771E7
RHC,10,20.0,126031.0
SA,10,20.0,300899.0
GA,10,34.0,845588.0
MIMIC,10,32.0,9281781.0
RHC,20,20.0,307594.0
SA,20,35.0,758155.0
GA,20,29.0,1560420.0
MIMIC,20,30.0,1.6677038E7
RHC,40,20.0,514364.0
SA,40,35.0,1671091.0
GA,40,35.0,2988114.0
MIMIC,40,30.0,3.077832E7
RHC,60,20.0,764456.0
SA,60,20.0,2579301.0
GA,60,35.0,4342552.0
MIMIC,60,29.0,4.2355045E7
RHC,80,20.0,908210.0
SA,80,35.0,3231905.0
GA,80,35.0,5308264.0
MIMIC,80,20.0,5.4262601E7
RHC,100,20.0,1062598.0
SA,100,35.0,3769111.0
GA,100,35.0,6023489.0
MIMIC,100,33.0,6.0010792E7
RHC,10,20.0,102794.0
SA,10,35.0,225281.0
GA,10,31.0,653785.0
MIMIC,10,34.0,7059305.0
RHC,20,20.0,194954.0
SA,20,35.0,575803.0
GA,20,33.0,1197688.0
MIMIC,20,35.0,1.2671619E7
RHC,40,20.0,390302.0
SA,40,35.0,1307571.0
GA,40,33.0,2291005.0
MIMIC,40,33.0,2.344214E7
RHC,60,20.0,591164.0
SA,60,20.0,2022008.0
GA,60,35.0,3418195.0
MIMIC,60,20.0,3.5306374E7
RHC,80,20.0,777847.0
SA,80,20.0,2742354.0
GA,80,35.0,4472521.0
MIMIC,80,35.0,4.8584122E7
RHC,100,20.0,979496.0
SA,100,20.0,3426858.0
GA,100,35.0,5634763.0
MIMIC,100,35.0,5.6577631E7
RHC,10,20.0,100037.0
SA,10,35.0,237884.0
GA,10,31.0,648665.0
MIMIC,10,31.0,7103023.0
RHC,20,20.0,192590.0
SA,20,35.0,588013.0
GA,20,35.0,1214623.0
MIMIC,20,33.0,1.2482966E7
RHC,40,20.0,389120.0
SA,40,20.0,1283152.0
GA,40,35.0,2337873.0
MIMIC,40,33.0,2.3703261E7
RHC,60,20.0,584468.0
SA,60,20.0,1961749.0
GA,60,31.0,3375659.0
MIMIC,60,31.0,3.4441092E7
RHC,80,20.0,781391.0
SA,80,35.0,2716753.0
GA,80,32.0,4454798.0
MIMIC,80,35.0,4.8718818E7
RHC,100,20.0,982254.0
SA,100,35.0,3435523.0
GA,100,35.0,5616252.0
MIMIC,100,35.0,5.5947871E7
RHC,10,20.0,103976.0
SA,10,20.0,222130.0
GA,10,34.0,650241.0
MIMIC,10,29.0,7176278.0
RHC,20,20.0,197711.0
SA,20,20.0,578954.0
GA,20,31.0,1190598.0
MIMIC,20,35.0,1.2577095E7
RHC,40,20.0,393059.0
SA,40,20.0,1259916.0
GA,40,35.0,2271707.0
MIMIC,40,35.0,2.3609525E7
RHC,60,20.0,583681.0
SA,60,35.0,1997196.0
GA,60,29.0,3350059.0
MIMIC,60,35.0,3.4584059E7
RHC,80,20.0,775484.0
SA,80,35.0,2738809.0
GA,80,35.0,4452435.0
MIMIC,80,33.0,4.6029633E7
RHC,100,20.0,964136.0
SA,100,20.0,3436705.0
GA,100,35.0,5613495.0
MIMIC,100,35.0,6.0117917E7
RHC,10,20.0,103188.0
SA,10,20.0,230401.0
GA,10,31.0,647877.0
MIMIC,10,30.0,7095145.0
RHC,20,35.0,200862.0
SA,20,35.0,565958.0
GA,20,32.0,1215804.0
MIMIC,20,31.0,1.2568037E7
RHC,40,20.0,391878.0
SA,40,20.0,1290242.0
GA,40,32.0,2322119.0
MIMIC,40,33.0,2.3676872E7
RHC,60,20.0,588013.0
SA,60,20.0,2014919.0
GA,60,35.0,3382748.0
MIMIC,60,35.0,3.4118926E7
RHC,80,20.0,785724.0
SA,80,35.0,2718723.0
GA,80,32.0,4543414.0
MIMIC,80,35.0,4.4544437E7
RHC,100,20.0,985404.0
SA,100,35.0,3443794.0
GA,100,35.0,5633187.0
MIMIC,100,35.0,5.5849803E7
RHC,10,20.0,99249.0
SA,10,35.0,222917.0
GA,10,32.0,654573.0
MIMIC,10,28.0,7028586.0
RHC,20,20.0,196135.0
SA,20,35.0,580136.0
GA,20,33.0,1200444.0
MIMIC,20,33.0,1.2527471E7
RHC,40,20.0,385969.0
SA,40,35.0,1298906.0
GA,40,35.0,2330784.0
MIMIC,40,31.0,4.8011075E7
RHC,60,20.0,1266217.0
SA,60,35.0,4342158.0
GA,60,35.0,7299551.0
MIMIC,60,32.0,7.5702819E7
RHC,80,20.0,1693147.0
SA,80,35.0,5844683.0
GA,80,33.0,9719739.0
