Algorithm,Iteration,N,Evaluation,TrainingTime
SA,10,30,0.0,20874.0
GA,10,30,41.0,714435.0
MIMIC,10,30,49.0,1.2943332E7
RHC,10,40,1.0,15360.0
SA,10,40,2.0,22843.0
GA,10,40,16.0,805807.0
MIMIC,10,40,8.0,2.1216052E7
RHC,10,50,2.0,18511.0
SA,10,50,1.0,27176.0
GA,10,50,12.0,885758.0
MIMIC,10,50,20.0,2.9671517E7
RHC,10,60,7.0,22056.0
SA,10,60,5.0,28357.0
GA,10,60,10.0,964921.0
MIMIC,10,60,15.0,7.2383647E7
RHC,10,70,2.0,44899.0
SA,10,70,1.0,58683.0
GA,10,70,11.0,2228771.0
MIMIC,10,70,15.0,1.12267966E8
RHC,10,80,6.0,52381.0
SA,10,80,1.0,67742.0
GA,10,80,10.0,2468623.0
MIMIC,10,80,19.0,1.26160071E8
RHC,10,90,1.0,43323.0
SA,10,90,2.0,52382.0
GA,10,90,7.0,2025547.0
MIMIC,10,90,14.0,1.26062004E8
RHC,10,100,4.0,42535.0
SA,10,100,0.0,53957.0
GA,10,100,16.0,1923146.0
MIMIC,10,100,17.0,1.32720746E8
RHC,20,10,10.0,25994.0
SA,20,10,2.0,44505.0
GA,20,10,17.0,1279210.0
MIMIC,20,10,17.0,6536650.0
RHC,20,20,8.0,23631.0
SA,20,20,5.0,42141.0
GA,20,20,35.0,1428477.0
MIMIC,20,20,14.0,1.4619537E7
RHC,20,30,6.0,29932.0
SA,20,30,4.0,50018.0
GA,20,30,42.0,1588771.0
MIMIC,20,30,18.0,2.6974465E7
RHC,20,40,17.0,33083.0
SA,20,40,1.0,51199.0
GA,20,40,15.0,1689202.0
MIMIC,20,40,13.0,3.8176212E7
RHC,20,50,3.0,37809.0
SA,20,50,7.0,54351.0
GA,20,50,69.0,1699442.0
MIMIC,20,50,64.0,5.7055975E7
RHC,20,60,2.0,72467.0
SA,20,60,0.0,108307.0
GA,20,60,19.0,3650158.0
MIMIC,20,60,15.0,1.44141473E8
RHC,20,70,4.0,80738.0
SA,20,70,0.0,121305.0
GA,20,70,11.0,3944755.0
MIMIC,20,70,24.0,1.62609273E8
RHC,20,80,6.0,66166.0
SA,20,80,8.0,98067.0
GA,20,80,13.0,3213384.0
MIMIC,20,80,22.0,1.68250319E8
RHC,20,90,3.0,66954.0
SA,20,90,2.0,86646.0
GA,20,90,25.0,2858923.0
MIMIC,20,90,14.0,1.64715557E8
RHC,20,100,1.0,61440.0
SA,20,100,0.0,76800.0
GA,20,100,13.0,2541090.0
MIMIC,20,100,23.0,1.75832235E8
RHC,30,10,17.0,32295.0
SA,30,10,0.0,53957.0
GA,30,10,17.0,1614372.0
MIMIC,30,10,17.0,8160081.0
RHC,30,20,20.0,35052.0
SA,30,20,0.0,52775.0
GA,30,20,35.0,1770728.0
MIMIC,30,20,33.0,1.7856552E7
RHC,30,30,5.0,40172.0
SA,30,30,1.0,61046.0
GA,30,30,42.0,1875492.0
MIMIC,30,30,47.0,3.1413102E7
RHC,30,40,11.0,3454811.0
SA,30,40,1.0,66166.0
GA,30,40,60.0,2085410.0
MIMIC,30,40,57.0,4.8359871E7
RHC,30,50,4.0,50806.0
SA,30,50,0.0,72073.0
GA,30,50,24.0,2318567.0
MIMIC,30,50,12.0,7.0333287E7
RHC,30,60,9.0,57501.0
SA,30,60,0.0,77193.0
GA,30,60,16.0,2454050.0
MIMIC,30,60,17.0,9.9322271E7
RHC,30,70,5.0,62621.0
SA,30,70,3.0,83102.0
GA,30,70,11.0,2629311.0
MIMIC,30,70,17.0,1.20968008E8
RHC,30,80,2.0,62621.0
SA,30,80,1.0,90978.0
GA,30,80,10.0,2871527.0
MIMIC,30,80,26.0,1.57302207E8
RHC,30,90,3.0,135482.0
SA,30,90,4.0,187077.0
GA,30,90,15.0,6394078.0
MIMIC,30,90,13.0,3.70733277E8
RHC,30,100,4.0,106732.0
SA,30,100,1.0,145722.0
GA,30,100,11.0,4907706.0
MIMIC,30,100,24.0,3.18623999E8
RHC,40,10,17.0,85071.0
SA,40,10,0.0,147692.0
GA,40,10,17.0,4510317.0
MIMIC,40,10,17.0,2.2428702E7
RHC,40,20,19.0,88616.0
SA,40,20,1.0,150842.0
GA,40,20,34.0,4925823.0
MIMIC,40,20,35.0,5.0236544E7
RHC,40,30,10.0,95311.0
SA,40,30,3.0,165415.0
GA,40,30,45.0,5493354.0
MIMIC,40,30,43.0,8.3903621E7
RHC,40,40,11.0,96886.0
SA,40,40,1.0,160295.0
GA,40,40,53.0,4964026.0
MIMIC,40,40,56.0,1.07478019E8
RHC,40,50,7.0,98461.0
SA,40,50,6.0,146904.0
