Algorithm,Iteration,Nodes,TrainTest,Evaluation,Time
GA,50,10,test,96.491,0.001
RHC,50,20,train,82.198,0.323
RHC,50,20,test,83.333,0.002
SA,50,20,train,50.110,0.339
SA,50,20,test,50.877,0.001
GA,50,20,train,96.923,9.204
GA,50,20,test,96.491,0.001
RHC,50,30,train,72.527,0.451
RHC,50,30,test,71.053,0.001
SA,50,30,train,31.648,0.466
SA,50,30,test,29.825,0.001
GA,50,30,train,97.143,11.299
GA,50,30,test,98.246,0.001
RHC,50,40,train,80.440,0.546
RHC,50,40,test,75.439,0.001
SA,50,40,train,75.385,0.356
SA,50,40,test,73.684,0.001
GA,50,40,train,97.582,17.105
GA,50,40,test,97.368,0.001
RHC,50,50,train,39.341,0.611
RHC,50,50,test,46.491,0.002
SA,50,50,train,12.527,0.640
SA,50,50,test,13.158,0.002
GA,50,50,train,97.802,21.971
GA,50,50,test,98.246,0.001
RHC,50,60,train,57.802,0.480
RHC,50,60,test,57.895,0.001
SA,50,60,train,74.066,0.470
SA,50,60,test,73.684,0.001
GA,50,60,train,97.802,22.955
GA,50,60,test,98.246,0.001
RHC,60,10,train,78.681,0.115
RHC,60,10,test,78.070,0.000
SA,60,10,train,92.967,0.113
SA,60,10,test,88.596,0.000
GA,60,10,train,97.363,5.602
GA,60,10,test,97.368,0.000
RHC,60,20,train,85.495,0.186
RHC,60,20,test,87.719,0.001
SA,60,20,train,75.165,0.439
SA,60,20,test,75.439,0.001
GA,60,20,train,97.143,10.161
GA,60,20,test,98.246,0.001
RHC,60,30,train,51.209,0.395
RHC,60,30,test,51.754,0.002
SA,60,30,train,60.659,0.553
SA,60,30,test,61.404,0.001
GA,60,30,train,98.901,17.134
GA,60,30,test,98.246,0.001
RHC,60,40,train,77.143,0.314
RHC,60,40,test,74.561,0.001
SA,60,40,train,38.242,0.319
SA,60,40,test,30.702,0.001
GA,60,40,train,98.022,20.563
GA,60,40,test,98.246,0.001
RHC,60,50,train,87.692,0.391
RHC,60,50,test,82.456,0.001
SA,60,50,train,30.549,0.388
SA,60,50,test,35.088,0.001
GA,60,50,train,98.022,23.141
GA,60,50,test,97.368,0.001
RHC,60,60,train,69.451,0.466
RHC,60,60,test,71.053,0.001
SA,60,60,train,32.747,0.456
SA,60,60,test,34.211,0.001
GA,60,60,train,98.022,27.928
GA,60,60,test,97.368,0.001
RHC,10,10,train,77.582,0.019
RHC,10,10,test,76.316,0.000
SA,10,10,train,19.341,0.022
SA,10,10,test,14.035,0.000
GA,10,10,train,91.429,0.812
GA,10,10,test,91.228,0.001
RHC,10,20,train,57.363,0.045
RHC,10,20,test,59.649,0.001
SA,10,20,train,22.198,0.041
SA,10,20,test,20.175,0.001
GA,10,20,train,93.626,1.713
GA,10,20,test,92.105,0.001
RHC,10,30,train,32.967,0.080
RHC,10,30,test,40.351,0.001
SA,10,30,train,76.703,0.072
SA,10,30,test,71.930,0.001
GA,10,30,train,94.945,2.444
GA,10,30,test,94.737,0.001
RHC,10,40,train,80.220,0.058
RHC,10,40,test,71.930,0.001
SA,10,40,train,57.582,0.052
SA,10,40,test,58.772,0.001
GA,10,40,train,93.626,2.939
GA,10,40,test,92.105,0.001
RHC,10,50,train,48.352,0.063
RHC,10,50,test,52.632,0.001
SA,10,50,train,34.286,0.063
SA,10,50,test,38.596,0.001
GA,10,50,train,95.385,4.067
GA,10,50,test,94.737,0.001
RHC,10,60,train,77.802,0.075
RHC,10,60,test,82.456,0.001
SA,10,60,train,47.473,0.074
SA,10,60,test,50.877,0.001
GA,10,60,train,94.286,4.418
GA,10,60,test,93.860,0.001
RHC,20,10,train,55.824,0.073
RHC,20,10,test,57.018,0.001
SA,20,10,train,48.352,0.097
SA,20,10,test,51.754,0.001
GA,20,10,train,96.703,2.277
GA,20,10,test,95.614,0.001
RHC,20,20,train,80.220,0.138
RHC,20,20,test,83.333,0.001
SA,20,20,train,10.769,0.114
SA,20,20,test,8.772,0.001
GA,20,20,train,96.484,3.394
GA,20,20,test,96.491,0.001
RHC,20,30,train,48.132,0.090
RHC,20,30,test,49.123,0.002
SA,20,30,train,55.165,0.208
SA,20,30,test,54.386,0.002
GA,20,30,train,94.505,5.930
GA,20,30,test,94.737,0.001
RHC,20,40,train,81.319,0.126
RHC,20,40,test,78.947,0.001
SA,20,40,train,41.758,0.132
SA,20,40,test,40.351,0.001
GA,20,40,train,93.846,6.453
GA,20,40,test,93.860,0.001
RHC,20,50,train,66.374,0.130
RHC,20,50,test,65.789,0.001
SA,20,50,train,26.154,0.131
SA,20,50,test,20.175,0.001
GA,20,50,train,96.264,8.799
GA,20,50,test,93.860,0.001
RHC,20,60,train,61.099,0.327
RHC,20,60,test,61.404,0.002
SA,20,60,train,48.571,0.228
SA,20,60,test,47.368,0.001
GA,20,60,train,97.143,10.169
GA,20,60,test,94.737,0.001
RHC,30,10,train,59.121,0.060
RHC,30,10,test,49.123,0.000
SA,30,10,train,60.879,0.060
SA,30,10,test,53.509,0.000
GA,30,10,train,95.824,2.748
GA,30,10,test,92.105,0.000
RHC,30,20,train,81.538,0.089
RHC,30,20,test,79.825,0.001
SA,30,20,train,31.429,0.231
SA,30,20,test,36.842,0.001
GA,30,20,train,97.143,6.209
GA,30,20,test,97.368,0.001
RHC,30,30,train,62.857,0.155
RHC,30,30,test,60.526,0.001
SA,30,30,train,66.593,0.198
SA,30,30,test,68.421,0.002
GA,30,30,train,97.802,7.083
GA,30,30,test,98.246,0.001
RHC,30,40,train,40.879,0.159
RHC,30,40,test,45.614,0.001
SA,30,40,train,74.945,0.164
SA,30,40,test,71.053,0.001
GA,30,40,train,96.923,9.870
GA,30,40,test,93.860,0.001
RHC,30,50,train,23.297,0.197
RHC,30,50,test,31.579,0.001
SA,30,50,train,66.593,0.204
SA,30,50,test,61.404,0.001
GA,30,50,train,97.363,11.799
GA,30,50,test,97.368,0.001
RHC,30,60,train,83.077,0.295
RHC,30,60,test,79.825,0.001
SA,30,60,train,65.275,0.296
SA,30,60,test,60.526,0.001
GA,30,60,train,96.923,13.055
GA,30,60,test,97.368,0.001
RHC,40,10,train,31.868,0.079
RHC,40,10,test,25.439,0.000
SA,40,10,train,77.802,0.081
SA,40,10,test,73.684,0.000
GA,40,10,train,96.923,3.967
GA,40,10,test,98.246,0.000
RHC,40,20,train,84.615,0.135
RHC,40,20,test,85.965,0.001
SA,40,20,train,90.549,0.142
SA,40,20,test,88.596,0.001
GA,40,20,train,97.363,7.641
GA,40,20,test,95.614,0.001
RHC,40,30,train,52.967,0.172
RHC,40,30,test,44.737,0.001
SA,40,30,train,50.989,0.172
SA,40,30,test,53.509,0.001
GA,40,30,train,96.484,9.405
GA,40,30,test,93.860,0.001
RHC,40,40,train,81.978,0.337
RHC,40,40,test,78.947,0.002
SA,40,40,train,17.363,0.392
SA,40,40,test,20.175,0.001
GA,40,40,train,96.703,12.583
GA,40,40,test,97.368,0.001
RHC,40,50,train,46.813,0.261
RHC,40,50,test,45.614,0.001
SA,40,50,train,60.440,0.266
SA,40,50,test,66.667,0.001
GA,40,50,train,97.363,15.367
GA,40,50,test,95.614,0.001
RHC,40,60,train,80.659,0.599
RHC,40,60,test,77.193,0.002
SA,40,60,train,79.341,0.418
SA,40,60,test,79.825,0.002
GA,40,60,train,98.242,17.974
GA,40,60,test,99.123,0.001
RHC,50,10,train,45.055,0.097
RHC,50,10,test,53.509,0.000
SA,50,10,train,63.297,0.175
SA,50,10,test,60.526,0.001
GA,50,10,train,97.363,5.748
GA,50,10,test,95.614,0.001
RHC,50,20,train,67.253,0.242
RHC,50,20,test,64.035,0.001
SA,50,20,train,89.231,0.368
SA,50,20,test,87.719,0.001
GA,50,20,train,97.143,11.006
GA,50,20,test,98.246,0.001
RHC,50,30,train,25.495,0.253
RHC,50,30,test,33.333,0.001
SA,50,30,train,29.451,0.338
SA,50,30,test,22.807,0.002
GA,50,30,train,97.802,12.643
GA,50,30,test,96.491,0.001
RHC,50,40,train,82.857,0.265
RHC,50,40,test,82.456,0.001
SA,50,40,train,12.747,0.272
SA,50,40,test,14.912,0.001
GA,50,40,train,98.022,18.396
GA,50,40,test,97.368,0.001
RHC,50,50,train,63.516,0.394
RHC,50,50,test,65.789,0.001
SA,50,50,train,52.747,0.599
SA,50,50,test,48.246,0.002
GA,50,50,train,97.363,25.264
GA,50,50,test,97.368,0.001
RHC,50,60,train,58.022,0.546
RHC,50,60,test,63.158,0.004
SA,50,60,train,57.363,0.652
SA,50,60,test,60.526,0.002
GA,50,60,train,98.022,24.744
GA,50,60,test,96.491,0.001
RHC,60,10,train,69.670,0.225
RHC,60,10,test,74.561,0.001
SA,60,10,train,69.451,0.303
SA,60,10,test,69.298,0.001
GA,60,10,train,97.582,7.279
GA,60,10,test,97.368,0.000
RHC,60,20,train,88.352,0.183
RHC,60,20,test,85.088,0.001
SA,60,20,train,48.571,0.187
SA,60,20,test,50.877,0.001
GA,60,20,train,98.022,11.742
GA,60,20,test,95.614,0.001
RHC,60,30,train,39.560,0.309
RHC,60,30,test,41.228,0.002
SA,60,30,train,69.231,0.634
SA,60,30,test,64.912,0.002
GA,60,30,train,97.363,14.966
GA,60,30,test,96.491,0.001
RHC,60,40,train,43.297,0.638
RHC,60,40,test,35.965,0.002
SA,60,40,train,54.945,0.767
SA,60,40,test,53.509,0.002
GA,60,40,train,97.802,25.940
GA,60,40,test,95.614,0.001
RHC,60,50,train,74.505,0.717
RHC,60,50,test,73.684,0.003
SA,60,50,train,80.220,0.789
SA,60,50,test,85.965,0.001
GA,60,50,train,97.802,24.892
GA,60,50,test,96.491,0.001
