Algorithm,Iteration,NumberOfPoints,Evaluation,TrainingTime
GA,20,40,0.12899341618835108,1.1411668E7
MIMIC,20,40,0.08529604994437515,2.44230954E8
RHC,20,50,0.06789968550602117,137058.0
SA,20,50,0.0385331857649284,159113.0
GA,20,50,0.11222093997160953,1.4423402E7
MIMIC,20,50,0.06498204676932193,4.93234525E8
RHC,20,60,0.04727259788776951,161083.0
SA,20,60,0.029477993869345964,186682.0
GA,20,60,0.09547759217751972,1.7656478E7
MIMIC,20,60,0.04404194193885256,1.385620235E9
RHC,30,10,0.3181040503883227,64591.0
SA,30,10,0.1870739627851796,96492.0
GA,30,10,0.3234378198923035,4803732.0
MIMIC,30,10,0.3149621111319377,1.4087846E7
RHC,30,20,0.2213912343381528,94129.0
SA,30,20,0.11737938257690475,124849.0
GA,30,20,0.2801554494291933,8062407.0
MIMIC,30,20,0.18666785495636223,5.2719738E7
RHC,30,30,0.11529683144105592,131545.0
SA,30,30,0.051122596288381214,161871.0
GA,30,30,0.1616068994123181,1.2190299E7
MIMIC,30,30,0.10142836590916016,1.46478944E8
RHC,30,40,0.08836995996231922,167384.0
SA,30,40,0.045082772922871564,224098.0
GA,30,40,0.14559381213306005,1.6554893E7
MIMIC,30,40,0.06794934682360317,6.0933185E8
RHC,30,50,0.07215417779836653,427716.0
SA,30,50,0.03913359829481022,505303.0
GA,30,50,0.12169096702585486,4.5473378E7
MIMIC,30,50,0.06331484939302058,1.183050238E9
RHC,30,60,0.057016435724531675,511211.0
SA,30,60,0.03123332998003936,536024.0
GA,30,60,0.09830092529624634,5.6070967E7
MIMIC,30,60,0.04356373853022542,1.518396121E9
RHC,40,10,0.4388869811088035,82314.0
SA,40,10,0.27363881144977215,105944.0
GA,40,10,0.4388869811088035,5875384.0
MIMIC,40,10,0.35734139567054707,1.8243308E7
RHC,40,20,0.20080841741167021,124061.0
SA,40,20,0.08895315189661186,146510.0
GA,40,20,0.252624052036197,1.0575141E7
MIMIC,40,20,0.18557292412804985,6.8600368E7
RHC,40,30,0.1661560102604844,172110.0
SA,40,30,0.07446985642333866,192590.0
GA,40,30,0.21124888488414764,1.5502933E7
MIMIC,40,30,0.13720672180700935,1.94162189E8
RHC,40,40,0.08885415639272057,214251.0
SA,40,40,0.04971638947713966,237883.0
GA,40,40,0.15828635172066952,2.1390132E7
MIMIC,40,40,0.06804850381892222,4.64101789E8
RHC,40,50,0.0715469786878602,265058.0
SA,40,50,0.04040695140484064,295384.0
GA,40,50,0.12754109944647057,2.7208015E7
MIMIC,40,50,0.06878691859250025,1.071736558E9
RHC,40,60,0.05783942495951321,617549.0
SA,40,60,0.03032817863989296,659297.0
GA,40,60,0.10764848787519682,5.9539957E7
MIMIC,40,60,0.05214491085355642,2.602304862E9
RHC,50,10,0.41636781260305594,103188.0
SA,50,10,0.23926192952643432,130363.0
GA,50,10,0.432854039511654,7555528.0
MIMIC,50,10,0.416367812603056,2.2582302E7
RHC,50,20,0.166865158696451,154388.0
SA,50,20,0.08609913513501971,183925.0
GA,50,20,0.2278039274035801,1.3192636E7
MIMIC,50,20,0.1607380883806652,1.13315595E8
RHC,50,30,0.16281733812153623,453316.0
SA,50,30,0.0700599451927661,516725.0
GA,50,30,0.19318150658347222,4.1617239E7
MIMIC,50,30,0.13732102382628417,4.10891319E8
RHC,50,40,0.10361053568287901,364307.0
SA,50,40,0.04934829402843706,400146.0
GA,50,40,0.1528793295053942,3.560519E7
MIMIC,50,40,0.09259226794866904,9.69206811E8
RHC,50,50,0.07774148644578609,604159.0
SA,50,50,0.038433897269827266,654571.0
GA,50,50,0.14150409039585232,5.8404895E7
MIMIC,50,50,0.07851802671440576,1.940333225E9
RHC,50,60,0.06700359094750291,456467.0
SA,50,60,0.03242767038994909,486399.0
GA,50,60,0.12703715599600449,4.8558369E7
MIMIC,50,60,0.05824293331084951,2.664985735E9
RHC,60,10,0.2728492311423804,165415.0
