Iteration,RHC,SA,GA
431,13.849,72.886,2.564
432,13.853,74.531,2.541
433,13.333,75.052,2.460
434,13.407,75.585,2.603
435,13.347,75.657,2.506
436,13.263,75.137,2.539
437,13.299,75.110,2.618
438,13.399,75.354,2.493
439,13.255,70.605,2.493
440,13.299,70.470,2.608
441,13.515,70.181,2.678
442,13.135,70.138,2.584
443,13.211,70.261,2.472
444,13.091,71.018,2.574
445,13.009,71.295,2.630
446,13.094,72.626,2.608
447,12.990,72.539,2.499
448,12.758,73.596,2.597
449,12.724,73.516,2.589
450,12.886,72.606,2.600
451,12.980,72.646,2.630
452,12.766,74.788,2.674
453,12.568,74.696,2.560
454,12.572,74.696,2.545
455,12.568,74.874,2.566
456,12.562,75.009,2.535
457,12.669,75.028,2.613
458,12.621,74.841,2.587
459,13.466,74.766,2.454
460,12.612,74.638,2.643
461,12.790,74.679,2.472
462,12.675,75.371,2.518
463,12.558,75.358,2.550
464,12.571,75.696,2.601
465,12.558,76.459,2.471
466,12.446,76.456,2.407
467,12.406,76.447,2.467
468,12.136,76.427,2.597
469,12.155,76.671,2.552
470,12.129,74.144,2.586
471,12.028,74.325,2.586
472,11.991,74.373,2.497
473,11.941,74.583,2.641
474,11.861,74.774,2.437
475,11.985,75.355,2.489
476,11.805,75.858,2.494
477,11.629,76.076,2.435
478,11.570,77.410,2.391
479,11.572,77.461,2.629
480,11.577,77.021,2.529
481,11.608,76.918,2.498
482,11.576,76.646,2.540
483,11.662,76.660,2.478
484,11.501,76.702,2.501
485,11.486,76.615,2.748
486,11.498,76.840,2.479
487,11.460,76.847,2.494
488,11.498,77.451,2.503
489,11.500,76.991,2.387
490,11.483,76.296,2.466
491,11.555,76.160,2.501
492,11.456,76.140,2.511
493,11.473,76.797,2.551
494,11.570,76.255,2.479
495,11.353,76.637,2.444
496,11.308,77.494,2.489
497,10.973,75.515,2.503
498,11.439,75.277,2.488
499,10.912,75.310,2.567
500,10.809,75.211,2.563
501,10.782,75.203,2.424
502,10.910,75.528,2.407
503,10.781,75.472,2.421
504,10.862,73.629,2.485
505,10.777,73.846,2.422
506,10.872,73.845,2.485
507,10.777,74.472,2.557
508,10.765,73.069,2.309
509,10.735,73.743,2.468
510,10.696,72.761,2.657
511,10.688,72.192,2.486
512,10.685,72.151,2.520
513,10.630,71.199,2.480
514,10.589,71.717,2.496
515,10.725,71.311,2.494
516,10.581,72.312,2.472
517,10.508,72.896,2.498
518,10.465,74.638,2.455
519,10.527,74.324,2.399
520,10.465,73.633,2.548
521,10.498,73.467,2.452
522,10.430,72.674,2.471
523,10.399,72.574,2.499
524,10.490,73.426,2.578
525,10.343,73.427,2.520
526,10.347,73.212,2.456
527,10.326,72.503,2.535
528,10.358,73.655,2.474
529,10.396,71.632,2.576
530,10.237,70.865,2.423
531,10.235,71.133,2.459
532,10.198,71.143,2.447
533,10.092,71.296,2.431
534,10.093,71.162,2.420
535,10.046,71.163,2.524
536,9.986,71.284,2.505
537,9.903,71.239,2.418
538,9.973,69.874,2.561
539,9.741,66.107,2.515
540,9.519,66.662,2.423
541,9.657,66.731,2.423
542,9.507,66.866,2.567
543,9.511,66.856,2.469
544,9.504,66.856,2.609
545,9.420,66.859,2.415
546,9.402,67.022,2.440
547,9.584,66.131,2.399
548,9.364,66.854,2.532
549,9.327,66.550,2.478
550,9.350,65.965,2.525
551,9.325,67.982,2.544
552,9.320,67.854,2.547
553,9.319,67.466,2.522
554,9.319,67.504,2.565
555,9.317,69.309,2.420
556,9.283,70.260,2.612
557,9.266,70.862,2.462
558,9.250,70.883,2.444
559,9.315,70.517,2.424
560,9.219,70.627,2.517
561,9.226,70.696,2.485
562,9.399,70.657,2.592
563,9.218,70.194,2.445
564,9.358,69.167,2.526
565,9.187,69.176,2.451
566,9.196,69.791,2.497
567,9.253,69.464,2.398
568,9.176,69.859,2.554
569,8.893,70.645,2.462
570,8.953,70.301,2.467
571,8.880,70.693,2.402
572,8.876,70.577,2.503
573,8.832,71.664,2.496
574,8.852,71.735,2.460
575,8.825,72.012,2.487
576,8.806,72.018,2.407
577,8.758,73.227,2.480
578,8.747,73.415,2.469
579,8.756,74.520,2.466
580,8.753,75.302,2.450
581,8.929,72.542,2.438
582,8.447,74.441,2.557
583,8.415,74.419,2.503
584,8.433,76.050,2.521
585,8.415,76.012,2.524
586,8.421,76.095,2.410
587,8.401,76.101,2.437
588,8.426,74.879,2.526
589,8.396,74.927,2.573
590,8.369,75.688,2.594
591,8.367,76.093,2.483
592,8.414,76.336,2.439
593,8.371,77.271,2.443
594,8.368,78.101,2.410
595,8.369,79.628,2.399
596,8.367,80.148,2.412
597,8.367,82.286,2.405
598,8.363,82.076,2.404
599,8.247,82.119,2.496
600,8.248,81.655,2.461
601,8.346,82.042,2.522
602,8.249,80.613,2.412
603,8.175,80.690,2.469
604,8.187,80.623,2.469
605,8.419,80.502,2.488
606,8.375,80.503,2.428
607,8.175,80.160,2.430
608,8.175,80.394,2.414
609,8.155,80.359,2.495
610,8.153,78.385,2.446
611,8.101,79.001,2.420
612,8.136,79.024,2.448
613,8.112,78.974,2.465
614,8.099,78.995,2.406
615,8.093,79.013,2.431
616,7.965,75.897,2.546
617,7.972,75.888,2.425
618,8.088,76.674,2.462
619,7.963,76.606,2.482
620,7.959,76.584,2.390
621,7.907,76.661,2.388
622,7.908,77.242,2.439
623,7.933,77.235,2.518
624,7.885,77.175,2.272
625,7.886,77.189,2.386
626,7.871,77.189,2.346
627,7.872,77.642,2.356
628,7.673,76.033,2.385
629,7.676,75.791,2.402
630,7.685,75.932,2.443
631,7.784,75.826,2.400
632,7.670,76.522,2.367
633,7.659,77.541,2.381
634,7.661,77.655,2.469
635,7.671,77.668,2.390
636,7.651,77.305,2.422
637,7.656,78.559,2.402
638,7.642,78.103,2.437
639,7.704,78.432,2.391
640,7.640,76.727,2.361
641,7.546,76.760,2.427
642,7.522,76.856,2.419
643,7.547,76.946,2.409
644,7.518,76.808,2.450
645,7.535,76.885,2.452
646,7.529,77.091,2.388
647,7.528,75.314,2.381
648,7.519,75.495,2.385
649,7.502,73.312,2.403
650,7.467,74.217,2.415
651,7.470,74.133,2.418
652,7.475,74.003,2.416
653,7.474,74.562,2.434
654,7.467,76.727,2.421
655,7.453,74.535,2.429
656,7.480,74.398,2.388
657,7.435,74.071,2.441
658,7.470,74.867,2.416
659,7.443,74.947,2.454
660,7.428,75.442,2.410
661,7.440,88.718,2.414
662,7.488,76.285,2.451
663,7.428,75.782,2.592
664,7.426,75.984,2.380
665,7.445,74.773,2.414
666,7.423,76.588,2.454
667,7.426,74.671,2.424
668,7.427,71.802,2.369
669,7.442,71.465,2.355
670,7.477,71.410,2.379
671,7.427,71.147,2.380
672,7.426,70.783,2.452
673,7.411,70.639,2.396
674,7.569,71.181,2.435
675,7.439,71.187,2.473
676,7.449,71.481,2.420
677,7.516,70.775,2.369
678,7.429,70.992,2.460
679,7.410,70.561,2.343
680,7.400,70.310,2.363
681,7.376,70.449,2.371
682,7.376,69.845,2.406
683,7.381,69.308,2.412
684,7.358,69.253,2.378
685,7.427,68.234,2.485
686,7.290,68.127,2.418
687,7.289,69.087,2.400
688,7.291,69.359,2.381
689,7.335,67.668,2.418
690,7.185,67.521,2.419
691,7.183,68.289,2.461
692,7.182,68.198,2.408
693,7.166,66.160,2.439
694,7.133,67.062,2.468
695,7.116,66.011,2.389
696,7.175,68.444,2.465
697,7.069,66.606,2.447
698,7.068,66.312,2.436
699,7.099,66.062,2.406
700,7.075,69.291,2.387
701,7.056,66.270,2.402
702,7.006,66.127,2.417
703,7.026,65.980,2.371
704,6.900,66.020,2.416
705,6.873,65.939,2.457
706,6.882,65.343,2.434
707,6.873,64.181,2.467
708,6.869,64.339,2.434
709,6.867,64.425,2.392
710,6.844,64.181,2.405
711,6.846,64.483,2.399
712,6.884,62.504,2.445
713,6.849,62.451,2.416
714,6.861,61.939,2.436
715,6.868,62.295,2.418
716,6.858,62.168,2.438
717,6.911,60.991,2.402
718,6.950,60.946,2.412
719,6.842,61.485,2.426
720,6.794,56.068,2.350
721,6.795,55.079,2.457
722,7.629,55.285,2.458
723,6.795,54.768,2.407
724,6.802,55.123,2.363
725,6.784,54.789,2.421
726,6.803,54.733,2.408
727,6.888,54.723,2.399
728,6.902,54.686,2.415
729,6.692,56.660,2.410
730,6.670,54.904,2.390
731,6.693,53.842,2.470
732,6.586,53.938,2.471
733,6.578,54.332,2.381
734,6.568,54.936,2.391
735,6.561,53.786,2.371
736,6.572,53.814,2.331
737,6.731,53.765,2.424
738,6.559,53.640,2.443
739,6.539,55.325,2.440
740,6.462,54.756,2.429
741,6.445,54.094,2.441
742,6.450,53.612,2.376
743,6.441,53.214,2.302
744,6.439,53.181,2.404
745,6.447,52.883,2.405
746,6.443,52.357,2.434
747,6.491,51.343,2.403
748,6.420,51.191,2.441
749,6.422,50.071,2.403
750,6.422,50.088,2.388
751,6.426,50.063,2.356
752,6.421,49.552,2.429
753,6.403,51.402,2.341
754,6.395,49.196,2.430
755,6.506,49.170,2.380
756,6.391,53.613,2.356
757,6.427,49.113,2.390
758,6.472,49.264,2.418
759,6.403,49.122,2.451
760,6.390,49.135,2.498
761,6.315,48.960,2.435
762,6.427,49.252,2.458
763,6.315,48.707,2.370
764,6.373,48.736,2.398
765,6.317,48.510,2.383
766,6.315,48.290,2.404
